N,K,samples,last_revoke_mean_ms,last_revoke_p95_ms,last_revoke_passed_1s,last_revoke_pass_pct,total_core_mean_ms,total_core_p95_ms
100,10,100,642.1408000000001,1084.4402,87,87.0,105.20323,116.42375
500,10,100,588.1908500000001,1063.0164,91,91.0,105.21187999999998,113.67715
1000,10,100,600.26675,1095.3388499999999,91,91.0,98.42898000000001,112.08205
