total_active_sessions,dependency_lookup_mean,dependency_lookup_p95,total_core_mean,total_core_p95
100,0.73641,0.96605,105.20323,116.42375
500,0.7327899999999999,1.0446,105.21188000000001,113.67715
1000,0.6096699999999999,0.8979999999999999,98.42898,112.08205
