Poller interval (ms),Poll runs/min,Empty polls/min,Theoretical runs/min,Actual cycle (ms),Observed/theory (%)
250,233.98,233.98,240.0,256.43,97.49
500,117.79,117.79,120.0,509.37,98.16
1000,59.4,59.4,60.0,1010.16,98.99
2000,29.8,29.8,30.0,2013.58,99.33
5000,12.0,12.0,12.0,5000.43,99.99
