Poller interval (ms),Detection P95 (ms),Revoke P95 (ms),Empty polls/min,Normalized revoke P95,Normalized empty polls,Absolute normalized gap,Equal-weight balance score
250,240.4,249.5,233.59,0.0524721865864687,1.0,0.9475278134135313,1.0524721865864688
500,487.9,497.2,117.59,0.10456581631580054,0.5034033991181129,0.3988375828023124,0.6079692154339135
1000,975.1,984.5,59.4,0.20704956991734844,0.2542917076929663,0.04724213777561784,0.46134127761031474
2000,1967.3,1976.3,29.8,0.41563439819975184,0.1275739543644848,0.2880604438352671,0.5432083525642366
5000,4745.8,4754.9,12.0,1.0,0.051372062160195214,0.9486279378398048,1.0513720621601952
