requested_session_count,poller_wait_mean,event_processing_mean,e2e_mean,total_core_mean,total_core_median,total_core_p95,total_core_std,dependency_lookup_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,unattributed_core_ms,processing_residual_mean
1,544.9744800000001,16.73503,561.70951,16.126179999999998,15.809000000000001,19.38045,2.3379855067769313,0.63227,3.7233300000000003,0.25243,0.46334000000000003,6.03263,0.07604,4.9461200000000005,0.6088500000000003
10,505.52216999999996,103.71839,609.24056,103.20792,102.67099999999999,116.94189999999999,8.576207660260984,0.9478700000000001,26.89691,0.64506,2.67061,43.099250000000005,0.14049,28.80771,0.510469999999998
50,512.87403,415.57125999999994,928.44529,415.03447,419.36400000000003,435.68865,17.34791043828762,1.84924,107.9711,1.79505,10.79391,177.92923,0.44204,114.25385,0.5367899999999395
100,560.09462,786.84011,1346.93473,786.27239,794.315,818.2054499999999,27.660421482760153,2.18865,205.18033,2.9799700000000002,20.4466,337.93843999999996,0.75759,216.78079999999997,0.5677200000000084
