scenario,poller_interval_ms,scheduler_interval_ms,requested_session_count,iteration,trigger_event_id,session_sequence,session_id,reevaluation_duration_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,final_status
core_breakdown,1000,500,10,1,91,1,901,4.914,3.206,0.11,0.389,5.5,0.018,REVOKED
core_breakdown,1000,500,10,1,91,2,902,4.684,3.339,0.11,0.235,5.129,0.019,REVOKED
core_breakdown,1000,500,10,1,91,3,903,3.018,2.087,0.036,0.217,3.351,0.008,REVOKED
core_breakdown,1000,500,10,1,91,4,904,3.492,2.47,0.039,0.247,3.966,0.008,REVOKED
core_breakdown,1000,500,10,1,91,5,905,3.566,2.422,0.036,0.21,3.887,0.008,REVOKED
core_breakdown,1000,500,10,1,91,6,906,3.517,2.396,0.034,0.234,3.897,0.008,REVOKED
core_breakdown,1000,500,10,1,91,7,907,3.49,2.412,0.034,0.227,4.08,0.009,REVOKED
core_breakdown,1000,500,10,1,91,8,908,3.583,2.398,0.048,0.255,3.925,0.008,REVOKED
core_breakdown,1000,500,10,1,91,9,909,3.527,2.392,0.036,0.224,3.854,0.008,REVOKED
core_breakdown,1000,500,10,1,91,10,910,3.382,2.296,0.032,0.217,3.683,0.007,REVOKED
core_breakdown,1000,500,10,2,92,1,911,5.096,3.418,0.127,0.425,5.44,0.025,REVOKED
core_breakdown,1000,500,10,2,92,2,912,4.862,3.166,0.125,0.277,4.179,0.017,REVOKED
core_breakdown,1000,500,10,2,92,3,913,3.587,2.431,0.033,0.209,3.779,0.009,REVOKED
core_breakdown,1000,500,10,2,92,4,914,3.306,2.357,0.04,0.216,3.656,0.01,REVOKED
core_breakdown,1000,500,10,2,92,5,915,3.144,2.135,0.03,0.219,3.367,0.007,REVOKED
core_breakdown,1000,500,10,2,92,6,916,3.139,2.115,0.043,0.209,3.405,0.006,REVOKED
core_breakdown,1000,500,10,2,92,7,917,3.271,2.261,0.06,0.222,3.59,0.012,REVOKED
core_breakdown,1000,500,10,2,92,8,918,3.122,2.077,0.03,0.21,3.546,0.007,REVOKED
core_breakdown,1000,500,10,2,92,9,919,3.137,2.14,0.038,0.194,3.528,0.009,REVOKED
core_breakdown,1000,500,10,2,92,10,920,3.108,2.101,0.029,0.192,3.388,0.008,REVOKED
core_breakdown,1000,500,10,3,93,1,921,5.374,3.465,0.139,0.381,5.353,0.035,REVOKED
core_breakdown,1000,500,10,3,93,2,922,4.624,3.037,0.12,0.296,5.16,0.024,REVOKED
core_breakdown,1000,500,10,3,93,3,923,4.432,2.985,0.093,0.302,4.935,0.021,REVOKED
core_breakdown,1000,500,10,3,93,4,924,4.399,2.978,0.065,0.252,4.665,0.011,REVOKED
core_breakdown,1000,500,10,3,93,5,925,3.752,2.561,0.049,0.269,4.17,0.013,REVOKED
core_breakdown,1000,500,10,3,93,6,926,3.665,2.46,0.029,0.232,3.792,0.009,REVOKED
core_breakdown,1000,500,10,3,93,7,927,3.271,2.2,0.036,0.227,3.629,0.008,REVOKED
core_breakdown,1000,500,10,3,93,8,928,3.28,2.231,0.033,0.221,3.46,0.008,REVOKED
core_breakdown,1000,500,10,3,93,9,929,3.269,2.2,0.034,0.216,3.893,0.023,REVOKED
core_breakdown,1000,500,10,3,93,10,930,4.212,2.705,0.092,0.273,3.991,0.011,REVOKED
core_breakdown,1000,500,10,4,94,1,931,4.664,2.911,0.111,0.319,5.043,0.031,REVOKED
core_breakdown,1000,500,10,4,94,2,932,4.483,2.992,0.101,0.32,4.859,0.022,REVOKED
core_breakdown,1000,500,10,4,94,3,933,4.048,2.795,0.032,0.282,4.561,0.01,REVOKED
core_breakdown,1000,500,10,4,94,4,934,3.3,2.289,0.036,0.224,3.733,0.01,REVOKED
core_breakdown,1000,500,10,4,94,5,935,3.266,2.228,0.047,0.214,3.605,0.008,REVOKED
core_breakdown,1000,500,10,4,94,6,936,3.118,2.111,0.037,0.211,3.454,0.007,REVOKED
core_breakdown,1000,500,10,4,94,7,937,3.03,2.049,0.028,0.189,3.418,0.006,REVOKED
core_breakdown,1000,500,10,4,94,8,938,3.109,2.058,0.074,0.236,3.669,0.013,REVOKED
core_breakdown,1000,500,10,4,94,9,939,3.195,2.156,0.043,0.204,3.4,0.009,REVOKED
core_breakdown,1000,500,10,4,94,10,940,3.163,2.164,0.03,0.286,3.634,0.008,REVOKED
core_breakdown,1000,500,10,5,95,1,941,5.171,3.361,0.098,0.348,6.887,0.023,REVOKED
core_breakdown,1000,500,10,5,95,2,942,5.115,3.342,0.044,0.336,4.888,0.01,REVOKED
core_breakdown,1000,500,10,5,95,3,943,4.187,2.843,0.027,0.234,4.221,0.014,REVOKED
core_breakdown,1000,500,10,5,95,4,944,3.485,2.373,0.07,0.223,3.816,0.008,REVOKED
core_breakdown,1000,500,10,5,95,5,945,3.364,2.299,0.043,0.214,7.277,0.01,REVOKED
core_breakdown,1000,500,10,5,95,6,946,3.696,2.548,0.031,0.248,4.157,0.007,REVOKED
core_breakdown,1000,500,10,5,95,7,947,3.783,2.61,0.028,0.229,3.882,0.006,REVOKED
core_breakdown,1000,500,10,5,95,8,948,3.473,2.37,0.025,0.227,3.822,0.006,REVOKED
core_breakdown,1000,500,10,5,95,9,949,3.524,2.425,0.023,0.232,3.843,0.006,REVOKED
core_breakdown,1000,500,10,5,95,10,950,3.451,2.364,0.025,0.246,3.881,0.008,REVOKED
core_breakdown,1000,500,10,6,96,1,951,4.999,3.255,0.085,0.394,5.454,0.038,REVOKED
core_breakdown,1000,500,10,6,96,2,952,4.147,2.764,0.042,0.254,4.115,0.012,REVOKED
core_breakdown,1000,500,10,6,96,3,953,3.091,2.1,0.028,0.22,3.824,0.009,REVOKED
core_breakdown,1000,500,10,6,96,4,954,3.899,2.658,0.026,0.276,4.186,0.007,REVOKED
core_breakdown,1000,500,10,6,96,5,955,3.827,2.642,0.04,0.246,3.867,0.009,REVOKED
core_breakdown,1000,500,10,6,96,6,956,3.737,2.555,0.025,0.241,4.088,0.008,REVOKED
core_breakdown,1000,500,10,6,96,7,957,3.864,2.627,0.039,0.269,4.257,0.01,REVOKED
core_breakdown,1000,500,10,6,96,8,958,3.641,2.511,0.028,0.265,4.296,0.009,REVOKED
