scenario,poller_interval_ms,scheduler_interval_ms,requested_session_count,iteration,trigger_event_id,affected_session_count,poller_wait_ms,event_processing_latency_ms,event_end_to_end_latency_ms,dependency_lookup_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,total_core_ms,measured_component_sum_ms,unattributed_core_ms,reevaluation_total_ms,success,error
core_breakdown,1000,500,50,1,91,50,672.753,436.118,1108.871,1.023,114.119,1.888,11.323,186.776,0.45,435.671,315.579,120.092,167.779,True,
core_breakdown,1000,500,50,2,92,50,786.301,426.75,1213.051,0.848,111.671,1.745,11.277,183.211,0.453,426.385,309.206,117.179,163.977,True,
core_breakdown,1000,500,50,3,93,50,121.679,414.113,535.792,1.818,105.671,1.955,10.947,178.22,0.473,413.46,299.084,114.376,156.027,True,
core_breakdown,1000,500,50,4,94,50,412.09,461.153,873.243,1.174,121.642,2.277,12.067,198.715,0.511,460.63,336.385,124.245,176.834,True,
core_breakdown,1000,500,50,5,95,50,271.31,429.866,701.176,1.456,112.046,2.22,10.834,182.232,0.497,429.339,309.286,120.053,166.407,True,
core_breakdown,1000,500,50,6,96,50,26.42,391.617,418.037,0.807,101.435,1.548,10.217,169.215,0.378,391.226,283.599,107.627,148.708,True,
core_breakdown,1000,500,50,7,97,50,433.454,398.489,831.943,0.798,104.033,1.637,10.117,170.866,0.401,398.149,287.851,110.298,152.795,True,
core_breakdown,1000,500,50,8,98,50,381.744,380.876,762.62,1.34,97.261,1.49,10.02,164.037,0.387,380.269,274.536,105.733,142.959,True,
core_breakdown,1000,500,50,9,99,50,269.47,398.527,667.997,1.573,103.289,1.793,10.149,171.576,0.407,398.031,288.787,109.244,151.51,True,
core_breakdown,1000,500,50,10,100,50,530.279,400.113,930.392,1.117,103.662,1.868,10.374,171.542,0.48,399.578,289.043,110.535,152.487,True,
core_breakdown,1000,500,50,11,101,50,663.292,399.974,1063.266,0.759,105.295,1.464,10.274,172.411,0.367,399.559,290.57,108.989,153.665,True,
core_breakdown,1000,500,50,12,102,50,87.757,420.091,507.848,2.211,110.687,1.921,10.676,178.637,0.44,419.351,304.571,114.78,162.324,True,
core_breakdown,1000,500,50,13,103,50,501.575,419.91,921.485,1.152,110.772,1.796,10.714,178.802,0.471,419.377,303.707,115.67,162.302,True,
core_breakdown,1000,500,50,14,104,50,913.544,421.427,1334.971,1.826,109.759,1.852,10.793,180.662,0.452,420.793,305.343,115.45,161.412,True,
core_breakdown,1000,500,50,15,105,50,594.745,423.965,1018.71,1.069,111.2,1.916,11.112,180.09,0.466,423.42,305.853,117.567,164.071,True,
core_breakdown,1000,500,50,16,106,50,931.864,428.729,1360.593,0.837,111.264,1.831,10.962,180.555,0.435,428.364,305.882,122.481,163.039,True,
core_breakdown,1000,500,50,17,107,50,727.107,376.777,1103.884,1.224,96.608,1.559,9.799,162.945,0.397,376.179,272.532,103.647,142.628,True,
core_breakdown,1000,500,50,18,108,50,977.858,410.957,1388.815,1.132,106.359,1.59,10.899,176.484,0.392,410.493,296.856,113.637,156.156,True,
core_breakdown,1000,500,50,19,109,50,888.275,435.986,1324.261,1.157,113.329,1.856,11.183,187.872,0.459,435.425,315.855,119.569,166.76,True,
core_breakdown,1000,500,50,20,110,50,599.746,415.588,1015.334,0.819,109.1,1.433,10.572,178.539,0.379,415.276,300.843,114.434,159.709,True,
core_breakdown,1000,500,50,21,111,50,887.177,405.58,1292.757,0.926,105.346,1.863,10.72,174.355,0.442,405.155,293.652,111.503,154.833,True,
core_breakdown,1000,500,50,22,112,50,566.896,423.932,990.828,1.05,110.428,1.706,10.841,182.389,0.431,423.383,306.846,116.537,162.287,True,
core_breakdown,1000,500,50,23,113,50,344.499,399.812,744.311,1.664,101.896,1.777,10.252,171.22,0.427,399.299,287.235,112.063,150.322,True,
core_breakdown,1000,500,50,24,114,50,798.035,431.699,1229.734,1.234,112.338,1.947,11.247,185.502,0.488,431.2,312.756,118.444,165.438,True,
core_breakdown,1000,500,50,25,115,50,927.965,406.699,1334.664,1.721,104.582,1.794,10.514,175.394,0.448,406.087,294.454,111.633,153.986,True,
core_breakdown,1000,500,50,26,116,50,69.872,436.499,506.371,1.086,112.35,2.301,11.967,188.989,0.519,436.024,317.212,118.812,165.947,True,
core_breakdown,1000,500,50,27,117,50,827.526,394.158,1221.684,1.075,102.626,1.516,10.34,169.427,0.423,393.744,285.407,108.337,150.186,True,
core_breakdown,1000,500,50,28,118,50,414.984,401.493,816.477,2.194,101.949,1.752,10.64,172.136,0.426,400.904,289.097,111.807,151.384,True,
core_breakdown,1000,500,50,29,119,50,67.721,392.253,459.974,1.056,100.868,1.651,10.514,167.561,0.409,391.812,282.058,109.754,149.093,True,
core_breakdown,1000,500,50,30,120,50,31.879,383.601,415.48,1.707,98.375,1.767,9.992,164.453,0.431,382.736,276.725,106.011,145.516,True,
core_breakdown,1000,500,50,31,121,50,307.178,423.137,730.315,1.819,110.362,1.772,10.746,181.462,0.451,422.434,306.612,115.821,162.324,True,
core_breakdown,1000,500,50,32,122,50,988.58,368.021,1356.601,0.835,94.276,1.777,9.569,159.027,0.427,367.582,265.911,101.671,139.265,True,
core_breakdown,1000,500,50,33,123,50,563.714,408.001,971.715,1.055,106.527,1.397,10.691,174.99,0.362,407.281,295.021,112.26,156.168,True,
core_breakdown,1000,500,50,34,124,50,643.011,432.223,1075.234,1.197,112.512,1.898,11.237,186.488,0.46,431.685,313.791,117.893,165.714,True,
core_breakdown,1000,500,50,35,125,50,966.037,435.453,1401.49,1.131,115.301,1.965,11.264,185.998,0.469,434.946,316.128,118.818,168.827,True,
core_breakdown,1000,500,50,36,126,50,250.78,423.523,674.303,1.103,110.906,1.833,10.934,181.855,0.442,423.0,307.072,115.928,162.707,True,
core_breakdown,1000,500,50,37,127,50,424.993,393.104,818.097,1.133,100.455,1.917,10.28,166.158,0.47,392.567,280.413,112.154,148.393,True,
core_breakdown,1000,500,50,38,128,50,868.941,435.893,1304.834,1.826,113.263,2.162,11.228,187.095,0.495,435.203,316.069,119.134,166.712,True,
