scenario,poller_interval_ms,scheduler_interval_ms,requested_session_count,iteration,trigger_event_id,session_sequence,session_id,reevaluation_duration_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,final_status
core_breakdown,1000,500,100,1,31,1,3001,6.656,4.219,0.251,0.457,6.805,0.06,REVOKED
core_breakdown,1000,500,100,1,31,2,3002,5.854,3.87,0.12,0.387,5.851,0.03,REVOKED
core_breakdown,1000,500,100,1,31,3,3003,4.778,3.208,0.068,0.272,4.501,0.014,REVOKED
core_breakdown,1000,500,100,1,31,4,3004,4.112,2.914,0.043,0.254,4.023,0.009,REVOKED
core_breakdown,1000,500,100,1,31,5,3005,3.662,2.485,0.043,0.258,4.595,0.019,REVOKED
core_breakdown,1000,500,100,1,31,6,3006,4.017,2.74,0.098,0.28,4.228,0.033,REVOKED
core_breakdown,1000,500,100,1,31,7,3007,3.7,2.493,0.098,0.243,3.823,0.017,REVOKED
core_breakdown,1000,500,100,1,31,8,3008,3.5,2.349,0.055,0.235,3.585,0.014,REVOKED
core_breakdown,1000,500,100,1,31,9,3009,3.045,2.061,0.047,0.205,3.921,0.012,REVOKED
core_breakdown,1000,500,100,1,31,10,3010,2.924,1.996,0.044,0.175,2.978,0.006,REVOKED
core_breakdown,1000,500,100,1,31,11,3011,2.625,1.815,0.025,0.179,3.008,0.006,REVOKED
core_breakdown,1000,500,100,1,31,12,3012,2.802,1.971,0.023,0.2,2.996,0.006,REVOKED
core_breakdown,1000,500,100,1,31,13,3013,2.614,1.768,0.03,0.183,3.042,0.008,REVOKED
core_breakdown,1000,500,100,1,31,14,3014,2.629,1.817,0.024,0.201,2.882,0.007,REVOKED
core_breakdown,1000,500,100,1,31,15,3015,2.551,1.727,0.029,0.166,2.859,0.006,REVOKED
core_breakdown,1000,500,100,1,31,16,3016,2.628,1.79,0.024,0.171,2.912,0.006,REVOKED
core_breakdown,1000,500,100,1,31,17,3017,2.531,1.739,0.025,0.162,2.946,0.006,REVOKED
core_breakdown,1000,500,100,1,31,18,3018,2.518,1.72,0.026,0.168,2.889,0.006,REVOKED
core_breakdown,1000,500,100,1,31,19,3019,2.578,1.759,0.028,0.183,2.855,0.006,REVOKED
core_breakdown,1000,500,100,1,31,20,3020,2.543,1.75,0.024,0.172,2.899,0.006,REVOKED
core_breakdown,1000,500,100,1,31,21,3021,2.547,1.742,0.022,0.19,2.93,0.006,REVOKED
core_breakdown,1000,500,100,1,31,22,3022,2.523,1.723,0.023,0.184,2.891,0.011,REVOKED
core_breakdown,1000,500,100,1,31,23,3023,2.62,1.785,0.023,0.208,2.933,0.006,REVOKED
core_breakdown,1000,500,100,1,31,24,3024,2.528,1.722,0.025,0.157,2.946,0.006,REVOKED
core_breakdown,1000,500,100,1,31,25,3025,2.525,1.751,0.024,0.167,2.911,0.007,REVOKED
core_breakdown,1000,500,100,1,31,26,3026,2.564,1.764,0.024,0.178,2.891,0.006,REVOKED
core_breakdown,1000,500,100,1,31,27,3027,2.528,1.712,0.021,0.175,2.981,0.006,REVOKED
core_breakdown,1000,500,100,1,31,28,3028,2.568,1.756,0.026,0.177,2.95,0.006,REVOKED
core_breakdown,1000,500,100,1,31,29,3029,2.661,1.787,0.025,0.198,2.987,0.007,REVOKED
core_breakdown,1000,500,100,1,31,30,3030,2.575,1.799,0.023,0.194,2.908,0.006,REVOKED
core_breakdown,1000,500,100,1,31,31,3031,2.556,1.754,0.026,0.172,2.879,0.006,REVOKED
core_breakdown,1000,500,100,1,31,32,3032,2.536,1.707,0.02,0.176,2.926,0.006,REVOKED
core_breakdown,1000,500,100,1,31,33,3033,2.534,1.731,0.022,0.163,3.193,0.006,REVOKED
core_breakdown,1000,500,100,1,31,34,3034,2.982,2.002,0.025,0.2,3.311,0.008,REVOKED
core_breakdown,1000,500,100,1,31,35,3035,2.924,1.99,0.021,0.189,3.284,0.01,REVOKED
core_breakdown,1000,500,100,1,31,36,3036,2.943,2.025,0.023,0.207,3.294,0.006,REVOKED
core_breakdown,1000,500,100,1,31,37,3037,3.083,2.103,0.021,0.205,3.435,0.006,REVOKED
