scenario,poller_interval_ms,scheduler_interval_ms,requested_session_count,iteration,trigger_event_id,session_sequence,session_id,reevaluation_duration_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,final_status
core_breakdown,1000,500,50,1,91,1,4501,6.39,3.853,0.155,0.491,6.039,0.033,REVOKED
core_breakdown,1000,500,50,1,91,2,4502,4.806,3.209,0.098,0.33,5.11,0.021,REVOKED
core_breakdown,1000,500,50,1,91,3,4503,4.619,3.151,0.076,0.304,5.162,0.018,REVOKED
core_breakdown,1000,500,50,1,91,4,4504,4.433,3.057,0.054,0.26,4.294,0.011,REVOKED
core_breakdown,1000,500,50,1,91,5,4505,3.917,2.701,0.052,0.304,4.265,0.007,REVOKED
core_breakdown,1000,500,50,1,91,6,4506,3.954,2.773,0.051,0.263,4.117,0.007,REVOKED
core_breakdown,1000,500,50,1,91,7,4507,3.84,2.607,0.056,0.256,3.897,0.008,REVOKED
core_breakdown,1000,500,50,1,91,8,4508,3.555,2.419,0.032,0.213,3.998,0.008,REVOKED
core_breakdown,1000,500,50,1,91,9,4509,3.535,2.392,0.048,0.224,3.907,0.008,REVOKED
core_breakdown,1000,500,50,1,91,10,4510,3.512,2.398,0.035,0.244,4.025,0.006,REVOKED
core_breakdown,1000,500,50,1,91,11,4511,3.604,2.445,0.031,0.236,3.875,0.007,REVOKED
core_breakdown,1000,500,50,1,91,12,4512,3.46,2.389,0.029,0.219,4.22,0.015,REVOKED
core_breakdown,1000,500,50,1,91,13,4513,3.76,2.497,0.056,0.258,3.882,0.011,REVOKED
core_breakdown,1000,500,50,1,91,14,4514,3.565,2.479,0.028,0.225,3.903,0.008,REVOKED
core_breakdown,1000,500,50,1,91,15,4515,3.444,2.351,0.034,0.232,3.743,0.006,REVOKED
core_breakdown,1000,500,50,1,91,16,4516,3.404,2.347,0.029,0.235,3.865,0.006,REVOKED
core_breakdown,1000,500,50,1,91,17,4517,3.63,2.49,0.075,0.235,3.668,0.018,REVOKED
core_breakdown,1000,500,50,1,91,18,4518,2.756,1.864,0.038,0.177,3.495,0.009,REVOKED
core_breakdown,1000,500,50,1,91,19,4519,3.018,2.012,0.057,0.196,3.38,0.009,REVOKED
core_breakdown,1000,500,50,1,91,20,4520,3.016,2.052,0.029,0.204,3.519,0.008,REVOKED
core_breakdown,1000,500,50,1,91,21,4521,3.08,2.115,0.026,0.22,3.568,0.021,REVOKED
core_breakdown,1000,500,50,1,91,22,4522,3.134,2.109,0.025,0.211,3.512,0.008,REVOKED
core_breakdown,1000,500,50,1,91,23,4523,3.021,2.065,0.033,0.202,3.624,0.007,REVOKED
core_breakdown,1000,500,50,1,91,24,4524,3.159,2.128,0.027,0.229,3.481,0.007,REVOKED
core_breakdown,1000,500,50,1,91,25,4525,3.042,2.08,0.026,0.211,3.401,0.014,REVOKED
core_breakdown,1000,500,50,1,91,26,4526,3.03,2.096,0.029,0.197,3.48,0.007,REVOKED
core_breakdown,1000,500,50,1,91,27,4527,3.014,2.076,0.029,0.199,3.48,0.006,REVOKED
core_breakdown,1000,500,50,1,91,28,4528,3.124,2.134,0.032,0.193,3.493,0.007,REVOKED
core_breakdown,1000,500,50,1,91,29,4529,3.109,2.123,0.043,0.208,3.404,0.006,REVOKED
core_breakdown,1000,500,50,1,91,30,4530,3.018,2.057,0.029,0.271,3.521,0.006,REVOKED
core_breakdown,1000,500,50,1,91,31,4531,3.054,2.124,0.026,0.198,3.546,0.008,REVOKED
core_breakdown,1000,500,50,1,91,32,4532,3.06,2.072,0.029,0.207,3.488,0.007,REVOKED
core_breakdown,1000,500,50,1,91,33,4533,3.072,2.124,0.027,0.211,3.43,0.006,REVOKED
core_breakdown,1000,500,50,1,91,34,4534,3.072,2.134,0.027,0.208,3.532,0.006,REVOKED
core_breakdown,1000,500,50,1,91,35,4535,3.028,2.038,0.029,0.197,3.371,0.007,REVOKED
core_breakdown,1000,500,50,1,91,36,4536,3.014,2.084,0.028,0.195,3.403,0.006,REVOKED
core_breakdown,1000,500,50,1,91,37,4537,3.243,2.144,0.027,0.214,3.443,0.008,REVOKED
core_breakdown,1000,500,50,1,91,38,4538,3.027,2.079,0.026,0.208,3.527,0.007,REVOKED
core_breakdown,1000,500,50,1,91,39,4539,3.047,2.111,0.032,0.201,3.653,0.006,REVOKED
core_breakdown,1000,500,50,1,91,40,4540,3.163,2.137,0.025,0.223,3.732,0.007,REVOKED
core_breakdown,1000,500,50,1,91,41,4541,3.225,2.25,0.024,0.207,3.696,0.006,REVOKED
core_breakdown,1000,500,50,1,91,42,4542,3.175,2.164,0.021,0.21,3.56,0.007,REVOKED
core_breakdown,1000,500,50,1,91,43,4543,2.605,1.797,0.022,0.179,3.431,0.006,REVOKED
core_breakdown,1000,500,50,1,91,44,4544,3.016,2.043,0.028,0.197,3.39,0.008,REVOKED
core_breakdown,1000,500,50,1,91,45,4545,3.009,2.086,0.024,0.194,3.391,0.006,REVOKED
core_breakdown,1000,500,50,1,91,46,4546,3.02,2.065,0.024,0.201,3.354,0.006,REVOKED
core_breakdown,1000,500,50,1,91,47,4547,2.939,2.015,0.026,0.25,3.37,0.007,REVOKED
core_breakdown,1000,500,50,1,91,48,4548,3.028,2.089,0.029,0.198,3.436,0.006,REVOKED
core_breakdown,1000,500,50,1,91,49,4549,3.036,2.078,0.025,0.182,3.378,0.014,REVOKED
core_breakdown,1000,500,50,1,91,50,4550,3.0,2.016,0.025,0.197,3.317,0.005,REVOKED
core_breakdown,1000,500,50,2,92,1,4551,5.033,3.225,0.106,0.365,5.656,0.031,REVOKED
core_breakdown,1000,500,50,2,92,2,4552,4.787,3.304,0.043,0.338,5.108,0.021,REVOKED
core_breakdown,1000,500,50,2,92,3,4553,4.702,3.169,0.139,0.28,4.52,0.015,REVOKED
core_breakdown,1000,500,50,2,92,4,4554,3.926,2.626,0.037,0.228,4.214,0.01,REVOKED
core_breakdown,1000,500,50,2,92,5,4555,3.688,2.5,0.043,0.239,4.104,0.008,REVOKED
core_breakdown,1000,500,50,2,92,6,4556,3.6,2.418,0.038,0.241,3.827,0.006,REVOKED
core_breakdown,1000,500,50,2,92,7,4557,3.47,2.352,0.032,0.216,3.897,0.008,REVOKED
core_breakdown,1000,500,50,2,92,8,4558,3.324,2.29,0.026,0.216,3.67,0.006,REVOKED
