scenario,poller_interval_ms,scheduler_interval_ms,requested_session_count,iteration,trigger_event_id,session_sequence,session_id,reevaluation_duration_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,final_status
core_breakdown,1000,500,100,1,91,1,9001,5.569,3.503,0.218,0.485,6.512,0.049,REVOKED
core_breakdown,1000,500,100,1,91,2,9002,5.447,3.449,0.137,0.362,5.602,0.025,REVOKED
core_breakdown,1000,500,100,1,91,3,9003,5.081,3.427,0.11,0.338,5.196,0.019,REVOKED
core_breakdown,1000,500,100,1,91,4,9004,4.415,2.975,0.053,0.264,4.491,0.014,REVOKED
core_breakdown,1000,500,100,1,91,5,9005,4.06,2.757,0.052,0.274,4.337,0.012,REVOKED
core_breakdown,1000,500,100,1,91,6,9006,3.936,2.694,0.035,0.239,3.994,0.009,REVOKED
core_breakdown,1000,500,100,1,91,7,9007,3.683,2.507,0.056,0.241,4.044,0.009,REVOKED
core_breakdown,1000,500,100,1,91,8,9008,3.518,2.398,0.036,0.218,3.859,0.008,REVOKED
core_breakdown,1000,500,100,1,91,9,9009,3.527,2.399,0.036,0.238,3.78,0.006,REVOKED
core_breakdown,1000,500,100,1,91,10,9010,3.352,2.287,0.03,0.228,3.7,0.007,REVOKED
core_breakdown,1000,500,100,1,91,11,9011,3.409,2.332,0.031,0.231,3.666,0.006,REVOKED
core_breakdown,1000,500,100,1,91,12,9012,3.4,2.324,0.027,0.235,3.783,0.014,REVOKED
core_breakdown,1000,500,100,1,91,13,9013,3.443,2.303,0.049,0.22,3.788,0.013,REVOKED
core_breakdown,1000,500,100,1,91,14,9014,3.454,2.367,0.041,0.249,3.832,0.009,REVOKED
core_breakdown,1000,500,100,1,91,15,9015,3.45,2.353,0.036,0.234,3.676,0.006,REVOKED
core_breakdown,1000,500,100,1,91,16,9016,3.431,2.329,0.028,0.217,3.378,0.013,REVOKED
core_breakdown,1000,500,100,1,91,17,9017,2.955,2.01,0.04,0.201,3.338,0.007,REVOKED
core_breakdown,1000,500,100,1,91,18,9018,3.128,2.052,0.03,0.204,3.256,0.011,REVOKED
core_breakdown,1000,500,100,1,91,19,9019,2.938,2.022,0.026,0.196,3.323,0.007,REVOKED
core_breakdown,1000,500,100,1,91,20,9020,3.003,2.045,0.023,0.2,3.235,0.005,REVOKED
core_breakdown,1000,500,100,1,91,21,9021,2.962,2.041,0.026,0.186,3.321,0.007,REVOKED
core_breakdown,1000,500,100,1,91,22,9022,2.905,1.974,0.026,0.201,3.277,0.006,REVOKED
core_breakdown,1000,500,100,1,91,23,9023,2.972,2.04,0.022,0.202,3.269,0.006,REVOKED
core_breakdown,1000,500,100,1,91,24,9024,3.016,2.053,0.025,0.188,3.381,0.007,REVOKED
core_breakdown,1000,500,100,1,91,25,9025,3.012,2.052,0.029,0.195,3.314,0.009,REVOKED
core_breakdown,1000,500,100,1,91,26,9026,2.929,2.011,0.032,0.199,3.254,0.006,REVOKED
core_breakdown,1000,500,100,1,91,27,9027,2.956,2.018,0.026,0.199,3.316,0.005,REVOKED
core_breakdown,1000,500,100,1,91,28,9028,2.928,2.001,0.023,0.19,3.313,0.006,REVOKED
core_breakdown,1000,500,100,1,91,29,9029,2.907,1.993,0.021,0.208,3.278,0.005,REVOKED
core_breakdown,1000,500,100,1,91,30,9030,2.956,2.044,0.027,0.202,3.298,0.005,REVOKED
core_breakdown,1000,500,100,1,91,31,9031,2.93,2.003,0.023,0.206,3.271,0.006,REVOKED
core_breakdown,1000,500,100,1,91,32,9032,2.942,2.021,0.021,0.194,3.244,0.005,REVOKED
core_breakdown,1000,500,100,1,91,33,9033,2.914,1.976,0.023,0.193,3.271,0.006,REVOKED
core_breakdown,1000,500,100,1,91,34,9034,2.935,2.016,0.021,0.2,3.245,0.009,REVOKED
core_breakdown,1000,500,100,1,91,35,9035,2.974,2.031,0.024,0.194,3.24,0.006,REVOKED
core_breakdown,1000,500,100,1,91,36,9036,2.921,2.016,0.022,0.191,3.327,0.005,REVOKED
core_breakdown,1000,500,100,1,91,37,9037,2.941,1.976,0.02,0.204,3.286,0.005,REVOKED
core_breakdown,1000,500,100,1,91,38,9038,3.001,2.072,0.026,0.203,3.298,0.007,REVOKED
core_breakdown,1000,500,100,1,91,39,9039,2.916,2.027,0.024,0.2,3.311,0.007,REVOKED
