scenario,poller_interval_ms,scheduler_interval_ms,requested_session_count,iteration,trigger_event_id,affected_session_count,poller_wait_ms,event_processing_latency_ms,event_end_to_end_latency_ms,dependency_lookup_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,total_core_ms,measured_component_sum_ms,unattributed_core_ms,reevaluation_total_ms,success,error
core_breakdown,1000,500,1,1,31,1,523.96,19.345,543.305,0.447,4.317,0.868,0.635,6.661,0.15,18.798,13.078,5.72,7.465,True,
core_breakdown,1000,500,1,2,32,1,267.44,22.016,289.456,0.834,4.458,0.622,0.643,7.932,0.119,21.194,14.608,6.586,8.026,True,
core_breakdown,1000,500,1,3,33,1,599.358,16.3,615.658,0.445,3.217,0.58,0.495,6.317,0.108,15.81,11.162,4.648,5.563,True,
core_breakdown,1000,500,1,4,34,1,245.05,19.058,264.108,0.797,4.32,0.525,0.529,5.922,0.158,18.244,12.25,5.994,7.075,True,
core_breakdown,1000,500,1,5,35,1,99.01,19.474,118.484,0.509,4.322,0.553,0.554,6.543,0.147,18.845,12.627,6.218,7.25,True,
core_breakdown,1000,500,1,6,36,1,571.601,19.958,591.559,1.048,4.263,0.558,0.574,6.636,0.123,19.186,13.202,5.984,7.532,True,
core_breakdown,1000,500,1,7,37,1,106.54,16.325,122.865,0.479,4.045,0.233,0.397,5.776,0.062,15.808,10.992,4.816,6.334,True,
core_breakdown,1000,500,1,8,38,1,152.342,21.296,173.638,1.207,4.688,0.482,0.599,7.328,0.183,20.641,14.487,6.154,7.936,True,
core_breakdown,1000,500,1,9,39,1,529.809,24.437,554.246,0.709,6.928,0.384,0.778,7.881,0.113,23.724,16.793,6.93,10.927,True,
core_breakdown,1000,500,1,10,40,1,809.258,14.372,823.63,0.305,3.625,0.403,0.428,5.47,0.099,14.009,10.33,3.679,5.41,True,
core_breakdown,1000,500,1,11,41,1,628.275,14.529,642.804,0.364,3.791,0.147,0.449,5.286,0.033,14.145,10.069,4.077,5.586,True,
core_breakdown,1000,500,1,12,42,1,543.594,19.358,562.952,0.501,4.459,0.535,0.583,7.166,0.129,18.785,13.372,5.413,7.1,True,
core_breakdown,1000,500,1,13,43,1,156.871,15.622,172.493,0.382,3.734,0.214,0.502,5.811,0.054,15.165,10.699,4.467,5.788,True,
core_breakdown,1000,500,1,14,44,1,775.901,18.968,794.869,0.852,4.087,0.362,0.485,6.336,0.099,18.135,12.221,5.913,7.027,True,
core_breakdown,1000,500,1,15,45,1,371.973,15.977,387.95,0.636,3.78,0.249,0.433,5.679,0.062,15.335,10.838,4.496,5.916,True,
core_breakdown,1000,500,1,16,46,1,430.509,17.328,447.837,0.473,4.005,0.497,0.536,6.133,0.122,16.716,11.765,4.951,6.566,True,
core_breakdown,1000,500,1,17,47,1,8.125,14.687,22.812,0.57,2.899,0.195,0.389,5.81,0.051,14.071,9.913,4.157,4.693,True,
core_breakdown,1000,500,1,18,48,1,308.224,14.257,322.481,0.481,3.243,0.289,0.366,5.005,0.037,13.745,9.42,4.325,5.309,True,
core_breakdown,1000,500,1,19,49,1,54.384,15.127,69.511,0.753,2.942,0.259,0.38,5.525,0.055,14.477,9.915,4.562,5.331,True,
core_breakdown,1000,500,1,20,50,1,749.011,15.982,764.993,0.718,3.746,0.192,0.406,5.226,0.047,15.34,10.333,5.007,6.372,True,
core_breakdown,1000,500,1,21,51,1,188.746,15.8,204.546,0.672,3.284,0.181,0.397,5.774,0.05,15.145,10.358,4.787,5.597,True,
core_breakdown,1000,500,1,22,52,1,765.719,18.383,784.102,0.769,3.87,0.377,0.523,6.351,0.101,17.469,11.991,5.479,6.588,True,
core_breakdown,1000,500,1,23,53,1,532.195,13.561,545.756,0.512,3.164,0.116,0.348,5.018,0.033,13.111,9.191,3.92,4.987,True,
core_breakdown,1000,500,1,24,54,1,126.32,15.341,141.661,0.385,3.782,0.206,0.44,5.779,0.06,14.896,10.653,4.243,5.825,True,
