scenario,poller_interval_ms,scheduler_interval_ms,requested_session_count,iteration,trigger_event_id,session_sequence,session_id,reevaluation_duration_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,final_status
core_breakdown,1000,500,10,1,31,1,301,6.074,3.845,0.142,0.416,5.399,0.047,REVOKED
core_breakdown,1000,500,10,1,31,2,302,5.059,3.346,0.11,0.254,5.1,0.028,REVOKED
core_breakdown,1000,500,10,1,31,3,303,4.013,2.533,0.035,0.317,4.774,0.017,REVOKED
core_breakdown,1000,500,10,1,31,4,304,3.633,2.411,0.049,0.243,3.781,0.011,REVOKED
core_breakdown,1000,500,10,1,31,5,305,3.414,2.317,0.04,0.231,3.708,0.011,REVOKED
core_breakdown,1000,500,10,1,31,6,306,3.268,2.168,0.041,0.225,3.571,0.009,REVOKED
core_breakdown,1000,500,10,1,31,7,307,3.208,2.2,0.032,0.228,3.615,0.009,REVOKED
core_breakdown,1000,500,10,1,31,8,308,3.341,2.289,0.034,0.227,3.621,0.014,REVOKED
core_breakdown,1000,500,10,1,31,9,309,3.212,2.174,0.044,0.215,3.729,0.019,REVOKED
core_breakdown,1000,500,10,1,31,10,310,3.199,2.099,0.082,0.195,3.108,0.012,REVOKED
core_breakdown,1000,500,10,2,32,1,311,7.629,4.375,0.282,0.506,6.464,0.056,REVOKED
core_breakdown,1000,500,10,2,32,2,312,5.301,3.304,0.138,0.332,4.607,0.022,REVOKED
core_breakdown,1000,500,10,2,32,3,313,4.415,3.149,0.079,0.336,5.303,0.024,REVOKED
core_breakdown,1000,500,10,2,32,4,314,5.112,3.371,0.086,0.338,4.839,0.021,REVOKED
core_breakdown,1000,500,10,2,32,5,315,4.193,2.748,0.058,0.232,3.998,0.009,REVOKED
core_breakdown,1000,500,10,2,32,6,316,3.503,2.414,0.029,0.234,3.627,0.011,REVOKED
core_breakdown,1000,500,10,2,32,7,317,3.344,2.257,0.027,0.208,3.657,0.009,REVOKED
core_breakdown,1000,500,10,2,32,8,318,3.215,2.233,0.026,0.212,3.587,0.019,REVOKED
core_breakdown,1000,500,10,2,32,9,319,3.183,2.176,0.034,0.207,3.445,0.008,REVOKED
core_breakdown,1000,500,10,2,32,10,320,3.179,2.131,0.027,0.238,3.344,0.019,REVOKED
core_breakdown,1000,500,10,3,33,1,321,5.25,3.444,0.11,0.492,5.848,0.028,REVOKED
core_breakdown,1000,500,10,3,33,2,322,5.008,3.552,0.116,0.349,4.971,0.014,REVOKED
core_breakdown,1000,500,10,3,33,3,323,4.679,3.149,0.08,0.318,4.709,0.021,REVOKED
