scenario,poller_interval_ms,scheduler_interval_ms,requested_session_count,iteration,trigger_event_id,session_sequence,session_id,reevaluation_duration_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,final_status
core_breakdown,1000,500,50,1,31,1,1501,5.709,3.62,0.259,0.391,7.558,0.059,REVOKED
core_breakdown,1000,500,50,1,31,2,1502,5.903,3.878,0.116,0.383,5.812,0.027,REVOKED
core_breakdown,1000,500,50,1,31,3,1503,4.924,3.284,0.089,0.323,5.158,0.018,REVOKED
core_breakdown,1000,500,50,1,31,4,1504,4.871,3.352,0.078,0.31,4.55,0.012,REVOKED
core_breakdown,1000,500,50,1,31,5,1505,3.958,2.732,0.027,0.265,4.365,0.007,REVOKED
core_breakdown,1000,500,50,1,31,6,1506,3.64,2.485,0.034,0.244,3.932,0.007,REVOKED
core_breakdown,1000,500,50,1,31,7,1507,3.558,2.43,0.036,0.243,3.948,0.006,REVOKED
core_breakdown,1000,500,50,1,31,8,1508,3.51,2.416,0.03,0.22,4.107,0.015,REVOKED
core_breakdown,1000,500,50,1,31,9,1509,4.032,2.778,0.034,0.226,3.837,0.01,REVOKED
core_breakdown,1000,500,50,1,31,10,1510,3.587,2.415,0.06,0.228,3.823,0.022,REVOKED
core_breakdown,1000,500,50,1,31,11,1511,3.277,2.19,0.075,0.221,3.475,0.013,REVOKED
core_breakdown,1000,500,50,1,31,12,1512,3.07,2.092,0.039,0.213,3.415,0.008,REVOKED
core_breakdown,1000,500,50,1,31,13,1513,3.003,2.051,0.031,0.223,3.388,0.013,REVOKED
core_breakdown,1000,500,50,1,31,14,1514,3.037,2.08,0.026,0.205,3.359,0.007,REVOKED
core_breakdown,1000,500,50,1,31,15,1515,3.063,2.109,0.025,0.215,3.48,0.007,REVOKED
core_breakdown,1000,500,50,1,31,16,1516,3.131,2.131,0.021,0.195,3.34,0.006,REVOKED
core_breakdown,1000,500,50,1,31,17,1517,2.97,2.05,0.028,0.222,3.419,0.006,REVOKED
core_breakdown,1000,500,50,1,31,18,1518,2.99,2.07,0.023,0.194,3.403,0.006,REVOKED
core_breakdown,1000,500,50,1,31,19,1519,3.012,2.058,0.022,0.217,3.331,0.006,REVOKED
core_breakdown,1000,500,50,1,31,20,1520,3.023,2.061,0.027,0.2,3.322,0.006,REVOKED
core_breakdown,1000,500,50,1,31,21,1521,3.017,2.044,0.031,0.202,3.444,0.007,REVOKED
core_breakdown,1000,500,50,1,31,22,1522,3.045,2.07,0.025,0.201,3.356,0.006,REVOKED
core_breakdown,1000,500,50,1,31,23,1523,3.034,2.068,0.026,0.229,3.337,0.006,REVOKED
core_breakdown,1000,500,50,1,31,24,1524,3.04,2.067,0.025,0.198,3.412,0.009,REVOKED
core_breakdown,1000,500,50,1,31,25,1525,3.311,2.316,0.03,0.226,3.854,0.011,REVOKED
