scenario,poller_interval_ms,scheduler_interval_ms,requested_session_count,iteration,trigger_event_id,affected_session_count,poller_wait_ms,event_processing_latency_ms,event_end_to_end_latency_ms,dependency_lookup_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,total_core_ms,measured_component_sum_ms,unattributed_core_ms,reevaluation_total_ms,success,error
core_breakdown,1000,500,1,1,91,1,610.141,14.921,625.062,0.436,3.791,0.111,0.392,5.077,0.033,14.466,9.84,4.626,6.054,True,
core_breakdown,1000,500,1,2,92,1,428.005,17.12,445.125,0.84,3.748,0.28,0.457,5.002,0.046,16.369,10.374,5.995,6.994,True,
core_breakdown,1000,500,1,3,93,1,799.754,14.34,814.094,0.527,2.938,0.156,0.421,5.19,0.041,13.804,9.272,4.532,4.98,True,
core_breakdown,1000,500,1,4,94,1,702.004,21.138,723.142,1.584,3.573,0.339,0.663,6.798,0.096,20.405,13.052,7.353,7.217,True,
core_breakdown,1000,500,1,5,95,1,799.538,15.43,814.968,0.75,3.52,0.124,0.411,5.897,0.04,14.881,10.741,4.139,5.351,True,
core_breakdown,1000,500,1,6,96,1,905.629,17.984,923.613,0.628,3.902,0.425,0.51,6.695,0.096,17.387,12.257,5.13,6.723,True,
core_breakdown,1000,500,1,7,97,1,748.363,17.912,766.275,0.532,3.899,0.293,0.465,7.12,0.094,17.039,12.402,4.636,6.216,True,
core_breakdown,1000,500,1,8,98,1,898.145,19.73,917.875,0.505,5.102,0.35,0.579,7.489,0.114,19.131,14.14,4.991,7.508,True,
core_breakdown,1000,500,1,9,99,1,727.557,17.471,745.028,0.537,4.017,0.281,0.477,6.434,0.12,16.855,11.866,4.99,6.416,True,
core_breakdown,1000,500,1,10,100,1,12.973,18.473,31.446,0.917,3.542,0.287,0.506,6.576,0.094,17.795,11.924,5.871,6.693,True,
core_breakdown,1000,500,1,11,101,1,352.487,18.28,370.767,0.597,4.179,0.306,0.486,6.529,0.117,17.613,12.215,5.398,6.624,True,
core_breakdown,1000,500,1,12,102,1,224.064,14.667,238.731,0.843,3.678,0.095,0.367,5.212,0.035,14.189,10.229,3.959,5.634,True,
core_breakdown,1000,500,1,13,103,1,666.485,14.501,680.986,0.472,3.278,0.294,0.441,5.1,0.092,13.903,9.677,4.226,5.384,True,
core_breakdown,1000,500,1,14,104,1,977.594,17.94,995.534,0.909,3.776,0.295,0.473,6.129,0.087,17.25,11.67,5.579,6.747,True,
core_breakdown,1000,500,1,15,105,1,636.94,14.372,651.312,0.449,3.045,0.262,0.508,5.553,0.097,13.875,9.913,3.962,4.841,True,
core_breakdown,1000,500,1,16,106,1,90.77,19.082,109.852,0.907,3.715,0.285,0.426,6.717,0.11,18.289,12.159,6.13,6.913,True,
core_breakdown,1000,500,1,17,107,1,689.459,17.291,706.75,0.527,3.468,0.28,0.429,7.07,0.129,16.632,11.902,4.73,5.666,True,
core_breakdown,1000,500,1,18,108,1,284.333,16.926,301.259,0.553,3.926,0.18,0.465,6.403,0.052,16.365,11.578,4.787,6.265,True,
core_breakdown,1000,500,1,19,109,1,404.139,19.873,424.012,0.584,4.461,0.166,0.553,8.259,0.081,19.363,14.104,5.259,7.003,True,
core_breakdown,1000,500,1,20,110,1,303.238,18.287,321.525,0.589,4.008,0.284,0.52,6.51,0.102,17.538,12.013,5.524,6.426,True,
