scenario,poller_interval_ms,scheduler_interval_ms,requested_session_count,iteration,trigger_event_id,session_sequence,session_id,reevaluation_duration_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,final_status
core_breakdown,1000,500,1,1,31,1,31,7.465,4.317,0.868,0.635,6.661,0.15,REVOKED
core_breakdown,1000,500,1,2,32,1,32,8.026,4.458,0.622,0.643,7.932,0.119,REVOKED
core_breakdown,1000,500,1,3,33,1,33,5.563,3.217,0.58,0.495,6.317,0.108,REVOKED
core_breakdown,1000,500,1,4,34,1,34,7.075,4.32,0.525,0.529,5.922,0.158,REVOKED
core_breakdown,1000,500,1,5,35,1,35,7.25,4.322,0.553,0.554,6.543,0.147,REVOKED
core_breakdown,1000,500,1,6,36,1,36,7.532,4.263,0.558,0.574,6.636,0.123,REVOKED
core_breakdown,1000,500,1,7,37,1,37,6.334,4.045,0.233,0.397,5.776,0.062,REVOKED
core_breakdown,1000,500,1,8,38,1,38,7.936,4.688,0.482,0.599,7.328,0.183,REVOKED
core_breakdown,1000,500,1,9,39,1,39,10.927,6.928,0.384,0.778,7.881,0.113,REVOKED
core_breakdown,1000,500,1,10,40,1,40,5.41,3.625,0.403,0.428,5.47,0.099,REVOKED
core_breakdown,1000,500,1,11,41,1,41,5.586,3.791,0.147,0.449,5.286,0.033,REVOKED
core_breakdown,1000,500,1,12,42,1,42,7.1,4.459,0.535,0.583,7.166,0.129,REVOKED
core_breakdown,1000,500,1,13,43,1,43,5.788,3.734,0.214,0.502,5.811,0.054,REVOKED
core_breakdown,1000,500,1,14,44,1,44,7.027,4.087,0.362,0.485,6.336,0.099,REVOKED
core_breakdown,1000,500,1,15,45,1,45,5.916,3.78,0.249,0.433,5.679,0.062,REVOKED
core_breakdown,1000,500,1,16,46,1,46,6.566,4.005,0.497,0.536,6.133,0.122,REVOKED
core_breakdown,1000,500,1,17,47,1,47,4.693,2.899,0.195,0.389,5.81,0.051,REVOKED
core_breakdown,1000,500,1,18,48,1,48,5.309,3.243,0.289,0.366,5.005,0.037,REVOKED
core_breakdown,1000,500,1,19,49,1,49,5.331,2.942,0.259,0.38,5.525,0.055,REVOKED
core_breakdown,1000,500,1,20,50,1,50,6.372,3.746,0.192,0.406,5.226,0.047,REVOKED
core_breakdown,1000,500,1,21,51,1,51,5.597,3.284,0.181,0.397,5.774,0.05,REVOKED
core_breakdown,1000,500,1,22,52,1,52,6.588,3.87,0.377,0.523,6.351,0.101,REVOKED
core_breakdown,1000,500,1,23,53,1,53,4.987,3.164,0.116,0.348,5.018,0.033,REVOKED
core_breakdown,1000,500,1,24,54,1,54,5.825,3.782,0.206,0.44,5.779,0.06,REVOKED
core_breakdown,1000,500,1,25,55,1,55,5.844,3.64,0.18,0.396,5.412,0.048,REVOKED
core_breakdown,1000,500,1,26,56,1,56,6.154,3.64,0.178,0.407,5.284,0.046,REVOKED
core_breakdown,1000,500,1,27,57,1,57,5.818,3.207,0.218,0.436,5.533,0.05,REVOKED
core_breakdown,1000,500,1,28,58,1,58,5.76,3.546,0.178,0.537,5.821,0.052,REVOKED
core_breakdown,1000,500,1,29,59,1,59,7.016,3.995,0.446,0.54,6.3,0.116,REVOKED
core_breakdown,1000,500,1,30,60,1,60,5.676,3.719,0.224,0.405,5.694,0.102,REVOKED
core_breakdown,1000,500,1,31,61,1,61,6.53,4.121,0.305,0.436,6.008,0.173,REVOKED
core_breakdown,1000,500,1,32,62,1,62,5.347,3.292,0.2,0.435,5.755,0.053,REVOKED
core_breakdown,1000,500,1,33,63,1,63,4.866,3.256,0.198,0.304,4.376,0.062,REVOKED
core_breakdown,1000,500,1,34,64,1,64,7.096,4.338,0.411,0.533,6.331,0.093,REVOKED
core_breakdown,1000,500,1,35,65,1,65,6.215,3.777,0.205,0.458,5.645,0.058,REVOKED
core_breakdown,1000,500,1,36,66,1,66,6.648,4.24,0.265,0.623,8.766,0.1,REVOKED
core_breakdown,1000,500,1,37,67,1,67,5.758,3.814,0.134,0.381,5.263,0.077,REVOKED
core_breakdown,1000,500,1,38,68,1,68,5.264,3.49,0.133,0.423,5.254,0.044,REVOKED
core_breakdown,1000,500,1,39,69,1,69,5.391,3.535,0.217,0.366,4.622,0.069,REVOKED
core_breakdown,1000,500,1,40,70,1,70,5.762,3.782,0.137,0.424,5.2,0.045,REVOKED
core_breakdown,1000,500,1,41,71,1,71,7.087,4.23,0.266,0.565,6.59,0.08,REVOKED
core_breakdown,1000,500,1,42,72,1,72,5.736,3.429,0.137,0.502,5.765,0.074,REVOKED
core_breakdown,1000,500,1,43,73,1,73,4.988,3.041,0.132,0.356,5.21,0.048,REVOKED
core_breakdown,1000,500,1,44,74,1,74,5.502,3.563,0.133,0.416,5.043,0.045,REVOKED
core_breakdown,1000,500,1,45,75,1,75,4.863,3.066,0.094,0.328,4.095,0.066,REVOKED
core_breakdown,1000,500,1,46,76,1,76,5.963,3.546,0.133,0.413,5.212,0.073,REVOKED
core_breakdown,1000,500,1,47,77,1,77,6.814,3.709,0.279,0.636,6.913,0.128,REVOKED
core_breakdown,1000,500,1,48,78,1,78,4.882,3.175,0.097,0.358,5.165,0.036,REVOKED
core_breakdown,1000,500,1,49,79,1,79,5.997,3.518,0.169,0.405,5.184,0.075,REVOKED
core_breakdown,1000,500,1,50,80,1,80,5.464,3.663,0.134,0.416,6.929,0.049,REVOKED
