scenario,poller_interval_ms,scheduler_interval_ms,requested_session_count,iteration,trigger_event_id,affected_session_count,poller_wait_ms,event_processing_latency_ms,event_end_to_end_latency_ms,dependency_lookup_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,total_core_ms,measured_component_sum_ms,unattributed_core_ms,reevaluation_total_ms,success,error
core_breakdown,1000,500,50,1,31,50,989.495,426.661,1416.156,2.304,112.063,1.796,11.067,181.339,0.457,426.011,309.026,116.985,164.181,True,
core_breakdown,1000,500,50,2,32,50,855.769,420.022,1275.791,2.891,109.41,1.775,10.794,179.813,0.455,419.38,305.138,114.242,160.28,True,
core_breakdown,1000,500,50,3,33,50,817.597,422.283,1239.88,1.904,111.675,1.779,10.917,178.308,0.434,421.791,305.019,116.773,163.868,True,
core_breakdown,1000,500,50,4,34,50,757.188,411.622,1168.81,2.104,108.741,1.371,10.801,174.281,0.34,411.154,297.639,113.515,159.6,True,
core_breakdown,1000,500,50,5,35,50,663.515,424.518,1088.033,1.983,111.267,1.827,10.836,181.098,0.445,424.035,307.455,116.58,162.973,True,
core_breakdown,1000,500,50,6,36,50,805.664,448.292,1253.956,2.392,116.782,2.022,11.499,192.162,0.508,447.817,325.365,122.452,171.307,True,
core_breakdown,1000,500,50,7,37,50,950.421,433.18,1383.601,2.56,112.215,1.756,11.037,186.372,0.426,432.627,314.366,118.26,164.967,True,
core_breakdown,1000,500,50,8,38,50,485.787,414.739,900.526,2.857,107.558,1.833,10.678,176.925,0.46,414.116,300.311,113.805,158.706,True,
core_breakdown,1000,500,50,9,39,50,482.185,417.964,900.149,2.68,109.144,1.729,10.898,177.188,0.415,417.359,302.054,115.305,160.348,True,
core_breakdown,1000,500,50,10,40,50,549.192,418.985,968.177,2.926,109.264,1.815,10.813,177.066,0.436,418.318,302.321,115.998,162.362,True,
core_breakdown,1000,500,50,11,41,50,486.903,429.432,916.335,3.035,112.117,1.91,11.025,182.034,0.454,428.819,310.575,118.244,164.895,True,
core_breakdown,1000,500,50,12,42,50,121.097,419.738,540.835,1.729,109.995,1.804,10.867,179.14,0.437,419.239,303.971,115.268,161.306,True,
core_breakdown,1000,500,50,13,43,50,564.135,420.426,984.561,3.05,109.355,1.767,10.711,179.293,0.461,419.78,304.637,115.143,160.943,True,
core_breakdown,1000,500,50,14,44,50,609.91,392.573,1002.483,1.973,101.194,1.837,10.139,167.335,0.438,392.086,282.916,109.17,149.189,True,
core_breakdown,1000,500,50,15,45,50,270.936,425.443,696.379,2.944,109.456,1.957,10.999,181.877,0.524,424.778,307.758,117.02,161.578,True,
core_breakdown,1000,500,50,16,46,50,47.458,426.348,473.806,2.734,111.227,1.766,11.211,181.583,0.431,425.746,308.952,116.794,163.428,True,
core_breakdown,1000,500,50,17,47,50,966.224,421.361,1387.585,3.182,109.196,1.787,10.839,180.329,0.447,420.734,305.779,114.955,160.75,True,
core_breakdown,1000,500,50,18,48,50,621.763,421.596,1043.359,2.371,110.823,1.75,10.538,180.371,0.446,421.093,306.299,114.794,162.588,True,
core_breakdown,1000,500,50,19,49,50,550.324,390.146,940.47,2.378,101.809,2.078,10.315,163.841,0.518,389.369,280.94,108.429,149.727,True,
core_breakdown,1000,500,50,20,50,50,857.746,428.636,1286.382,2.051,110.507,1.834,11.17,184.128,0.48,428.096,310.171,117.925,163.533,True,
core_breakdown,1000,500,50,21,51,50,622.8,413.541,1036.341,1.94,107.331,1.835,10.921,176.696,0.443,413.087,299.165,113.922,158.03,True,
core_breakdown,1000,500,50,22,52,50,713.473,398.656,1112.129,1.288,103.716,1.288,10.496,171.388,0.338,398.297,288.515,109.782,151.898,True,
core_breakdown,1000,500,50,23,53,50,94.59,392.953,487.543,3.04,100.43,1.891,10.292,167.715,0.514,392.3,283.883,108.418,148.659,True,
core_breakdown,1000,500,50,24,54,50,418.938,398.967,817.905,3.288,103.154,1.897,10.384,170.25,0.451,398.288,289.426,108.862,151.47,True,
core_breakdown,1000,500,50,25,55,50,829.848,425.597,1255.445,2.812,111.024,1.78,10.956,181.538,0.447,424.915,308.557,116.358,162.846,True,
core_breakdown,1000,500,50,26,56,50,541.257,419.474,960.731,3.39,108.563,1.72,10.638,181.108,0.437,418.834,305.856,112.977,159.053,True,
