scenario,poller_interval_ms,scheduler_interval_ms,requested_session_count,iteration,trigger_event_id,affected_session_count,poller_wait_ms,event_processing_latency_ms,event_end_to_end_latency_ms,dependency_lookup_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,total_core_ms,measured_component_sum_ms,unattributed_core_ms,reevaluation_total_ms,success,error
core_breakdown,1000,500,10,1,31,10,475.654,99.111,574.765,0.901,25.382,0.609,2.551,40.406,0.177,98.6,70.026,28.574,38.42,True,
core_breakdown,1000,500,10,2,32,10,347.023,107.512,454.535,0.966,28.157,0.786,2.843,42.871,0.198,106.927,75.821,31.106,43.076,True,
core_breakdown,1000,500,10,3,33,10,729.992,103.349,833.341,0.869,27.874,0.603,2.76,41.6,0.135,102.865,73.842,29.024,41.189,True,
core_breakdown,1000,500,10,4,34,10,689.065,91.953,781.018,0.765,23.499,0.487,2.226,36.697,0.121,91.086,63.795,27.292,36.292,True,
core_breakdown,1000,500,10,5,35,10,493.775,95.464,589.239,0.692,24.984,0.793,2.61,38.74,0.195,94.997,68.014,26.983,37.229,True,
core_breakdown,1000,500,10,6,36,10,745.554,92.521,838.075,0.944,24.36,0.463,2.269,37.443,0.129,92.039,65.61,26.429,36.303,True,
core_breakdown,1000,500,10,7,37,10,248.446,92.987,341.433,0.626,26.223,0.634,2.319,36.28,0.161,92.425,66.243,26.182,38.231,True,
core_breakdown,1000,500,10,8,38,10,490.014,85.784,575.798,1.145,21.293,0.492,2.244,36.082,0.123,85.457,61.38,24.077,32.081,True,
core_breakdown,1000,500,10,9,39,10,949.867,103.636,1053.503,0.821,26.732,0.573,2.744,43.576,0.194,103.276,74.64,28.636,39.887,True,
core_breakdown,1000,500,10,10,40,10,183.335,99.695,283.03,0.841,26.377,0.459,2.56,41.453,0.111,99.347,71.801,27.547,38.936,True,
core_breakdown,1000,500,10,11,41,10,189.546,97.315,286.861,0.458,25.999,0.548,2.376,40.738,0.134,96.981,70.254,26.727,38.312,True,
core_breakdown,1000,500,10,12,42,10,234.416,102.785,337.201,0.966,27.008,0.608,2.505,42.809,0.131,102.201,74.028,28.173,39.943,True,
core_breakdown,1000,500,10,13,43,10,525.553,114.168,639.721,1.046,29.989,0.709,2.853,47.387,0.141,113.612,82.125,31.487,44.509,True,
core_breakdown,1000,500,10,14,44,10,37.634,97.74,135.374,0.974,25.094,0.552,2.5,40.624,0.103,97.202,69.848,27.355,37.395,True,
core_breakdown,1000,500,10,15,45,10,396.359,95.856,492.215,0.507,25.22,0.345,2.424,40.479,0.086,95.54,69.062,26.478,37.006,True,
core_breakdown,1000,500,10,16,46,10,909.513,99.583,1009.096,1.085,26.21,0.623,2.617,40.874,0.109,99.06,71.517,27.543,38.746,True,
core_breakdown,1000,500,10,17,47,10,578.246,111.799,690.045,0.85,28.831,0.776,2.883,46.165,0.181,111.235,79.684,31.55,43.272,True,
core_breakdown,1000,500,10,18,48,10,253.567,85.443,339.01,0.356,23.845,0.312,2.135,36.01,0.086,85.13,62.743,22.386,33.795,True,
core_breakdown,1000,500,10,19,49,10,971.619,113.276,1084.895,0.821,29.125,0.859,2.892,48.25,0.24,112.791,82.187,30.604,43.447,True,
core_breakdown,1000,500,10,20,50,10,302.356,117.413,419.769,0.785,30.378,0.747,3.202,49.786,0.137,116.922,85.036,31.886,44.773,True,
core_breakdown,1000,500,10,21,51,10,697.915,118.184,816.099,1.329,30.525,0.88,2.966,48.388,0.204,117.502,84.292,33.21,46.272,True,
core_breakdown,1000,500,10,22,52,10,536.806,102.667,639.473,1.19,26.282,0.731,2.625,41.641,0.177,102.039,72.645,29.394,40.421,True,
core_breakdown,1000,500,10,23,53,10,66.577,109.004,175.581,0.654,28.283,0.935,2.915,44.821,0.226,108.534,77.834,30.701,42.413,True,
core_breakdown,1000,500,10,24,54,10,496.294,97.233,593.527,0.833,25.811,0.323,2.49,40.17,0.081,96.742,69.707,27.035,37.944,True,
core_breakdown,1000,500,10,25,55,10,425.486,108.179,533.665,1.153,27.175,0.859,2.941,44.955,0.186,107.55,77.27,30.28,41.047,True,
core_breakdown,1000,500,10,26,56,10,132.205,106.657,238.862,1.259,27.107,0.826,2.654,43.262,0.171,105.945,75.28,30.666,41.239,True,
core_breakdown,1000,500,10,27,57,10,570.638,109.901,680.539,2.187,26.754,0.771,2.876,44.54,0.176,109.215,77.304,31.911,41.878,True,
core_breakdown,1000,500,10,28,58,10,868.969,112.944,981.913,1.776,28.009,0.875,2.887,47.048,0.189,112.282,80.784,31.498,42.446,True,
core_breakdown,1000,500,10,29,59,10,538.854,106.238,645.092,1.705,26.82,0.723,2.736,43.877,0.146,105.693,76.008,29.685,40.922,True,
core_breakdown,1000,500,10,30,60,10,908.618,86.656,995.274,0.788,22.005,0.349,2.251,36.454,0.083,86.294,61.931,24.362,32.81,True,
core_breakdown,1000,500,10,31,61,10,961.926,100.524,1062.45,0.789,26.903,0.598,2.658,41.803,0.115,100.173,72.866,27.307,39.271,True,
core_breakdown,1000,500,10,32,62,10,959.112,106.401,1065.513,1.57,28.15,0.565,2.658,43.422,0.118,105.84,76.483,29.357,41.902,True,
core_breakdown,1000,500,10,33,63,10,827.433,110.742,938.175,1.212,28.478,0.861,2.846,44.882,0.171,110.299,78.45,31.849,42.774,True,
core_breakdown,1000,500,10,34,64,10,254.91,93.201,348.111,1.121,24.178,0.484,2.426,38.617,0.111,92.712,66.937,25.775,35.909,True,
core_breakdown,1000,500,10,35,65,10,929.599,113.326,1042.925,0.853,28.946,0.822,2.935,47.038,0.185,112.786,80.778,32.008,43.905,True,
core_breakdown,1000,500,10,36,66,10,488.93,103.968,592.898,0.765,26.792,0.785,2.593,44.063,0.153,103.415,75.151,28.264,39.73,True,
core_breakdown,1000,500,10,37,67,10,112.193,102.587,214.78,0.701,26.452,0.649,2.582,42.875,0.167,102.121,73.425,28.696,39.876,True,
core_breakdown,1000,500,10,38,68,10,390.779,99.49,490.269,0.802,25.103,0.872,2.878,41.491,0.159,99.001,71.303,27.698,37.638,True,
core_breakdown,1000,500,10,39,69,10,791.286,104.581,895.867,1.251,25.865,0.841,2.659,43.404,0.185,103.893,74.205,29.689,39.981,True,
core_breakdown,1000,500,10,40,70,10,131.968,107.309,239.277,0.806,27.452,1.001,2.742,44.923,0.209,106.86,77.134,29.726,41.223,True,
core_breakdown,1000,500,10,41,71,10,402.528,118.006,520.534,1.343,30.768,0.777,2.957,47.514,0.192,117.32,83.55,33.769,46.593,True,
core_breakdown,1000,500,10,42,72,10,55.552,111.523,167.075,0.675,29.591,0.745,2.987,45.649,0.162,110.907,79.808,31.099,43.92,True,
core_breakdown,1000,500,10,43,73,10,578.539,108.632,687.171,0.901,28.223,0.776,2.842,44.847,0.163,108.066,77.751,30.315,42.292,True,
core_breakdown,1000,500,10,44,74,10,748.257,109.08,857.337,1.078,27.707,0.718,3.014,44.421,0.129,108.531,77.068,31.463,42.203,True,
core_breakdown,1000,500,10,45,75,10,167.125,106.099,273.224,0.534,27.853,0.756,2.932,43.153,0.157,105.635,75.385,30.25,42.32,True,
core_breakdown,1000,500,10,46,76,10,248.893,102.814,351.707,0.554,27.053,0.746,2.89,42.326,0.15,102.358,73.719,28.639,39.858,True,
core_breakdown,1000,500,10,47,77,10,118.706,112.279,230.985,0.512,28.971,0.803,2.865,47.572,0.18,111.737,80.903,30.834,43.113,True,
core_breakdown,1000,500,10,48,78,10,985.941,93.917,1079.858,0.343,23.546,0.5,3.138,38.606,0.097,93.581,66.23,27.351,34.712,True,
core_breakdown,1000,500,10,49,79,10,198.569,113.22,311.789,0.835,30.019,0.957,2.905,46.677,0.195,112.597,81.588,31.01,44.15,True,
core_breakdown,1000,500,10,50,80,10,932.082,99.895,1031.977,0.43,26.469,0.507,2.63,41.681,0.113,99.469,71.83,27.639,39.19,True,
