scenario,poller_interval_ms,scheduler_interval_ms,requested_session_count,iteration,trigger_event_id,affected_session_count,poller_wait_ms,event_processing_latency_ms,event_end_to_end_latency_ms,dependency_lookup_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,total_core_ms,measured_component_sum_ms,unattributed_core_ms,reevaluation_total_ms,success,error
core_breakdown,1000,500,100,1,91,100,72.097,804.654,876.751,1.255,211.273,2.896,20.991,344.38,0.758,804.212,581.553,222.659,310.083,True,
core_breakdown,1000,500,100,2,92,100,617.29,763.275,1380.565,2.201,197.911,3.1,19.861,327.331,0.825,762.628,551.228,211.4,290.913,True,
core_breakdown,1000,500,100,3,93,100,908.757,788.662,1697.419,1.201,205.895,2.667,20.581,338.709,0.714,788.27,569.766,218.504,301.791,True,
core_breakdown,1000,500,100,4,94,100,511.861,726.295,1238.156,0.746,185.434,2.475,19.243,318.279,0.642,725.933,526.82,199.113,272.62,True,
core_breakdown,1000,500,100,5,95,100,342.348,802.631,1144.979,1.372,210.872,3.124,20.88,344.493,0.785,802.103,581.525,220.578,308.441,True,
core_breakdown,1000,500,100,6,96,100,105.01,755.361,860.371,2.038,196.43,2.821,19.621,324.501,0.727,754.731,546.139,208.592,288.3,True,
core_breakdown,1000,500,100,7,97,100,908.102,724.731,1632.833,1.214,186.239,2.779,19.287,312.946,0.719,724.297,523.183,201.114,274.039,True,
core_breakdown,1000,500,100,8,98,100,906.177,789.427,1695.604,1.643,200.681,2.902,20.136,347.597,0.755,788.869,573.714,215.155,295.624,True,
core_breakdown,1000,500,100,9,99,100,474.715,783.752,1258.467,2.114,204.292,2.952,20.171,334.685,0.742,783.022,564.956,218.065,300.741,True,
core_breakdown,1000,500,100,10,100,100,442.355,722.467,1164.822,2.165,186.342,2.844,18.751,311.073,0.715,721.825,521.89,199.935,273.992,True,
core_breakdown,1000,500,100,11,101,100,563.262,732.65,1295.912,1.348,188.292,3.164,19.203,315.988,0.754,732.182,528.749,203.433,277.41,True,
core_breakdown,1000,500,100,12,102,100,700.739,787.151,1487.89,1.218,207.199,2.853,20.527,336.446,0.731,786.654,568.973,217.681,303.022,True,
core_breakdown,1000,500,100,13,103,100,800.901,785.842,1586.743,2.097,206.363,2.913,20.327,336.35,0.759,785.128,568.809,216.319,302.497,True,
core_breakdown,1000,500,100,14,104,100,602.427,811.053,1413.48,1.353,213.058,2.975,20.977,348.022,0.769,810.529,587.154,223.375,311.906,True,
core_breakdown,1000,500,100,15,105,100,524.296,757.192,1281.488,2.153,195.293,3.006,19.924,325.285,0.747,756.465,546.407,210.058,288.273,True,
core_breakdown,1000,500,100,16,106,100,465.851,814.679,1280.53,1.901,212.529,2.973,21.286,349.998,0.796,814.052,589.483,224.569,311.626,True,
core_breakdown,1000,500,100,17,107,100,587.33,764.161,1351.491,2.228,196.853,3.196,19.766,329.654,0.818,763.442,552.515,210.927,290.053,True,
core_breakdown,1000,500,100,18,108,100,688.539,802.237,1490.776,2.182,209.07,2.982,21.32,342.894,0.753,801.503,579.202,222.302,307.963,True,
core_breakdown,1000,500,100,19,109,100,511.713,728.262,1239.975,0.734,188.884,2.786,18.951,314.389,0.706,727.906,526.451,201.456,277.487,True,
core_breakdown,1000,500,100,20,110,100,305.131,748.665,1053.796,2.179,192.797,2.989,19.512,322.43,0.767,748.045,540.674,207.37,284.185,True,
core_breakdown,1000,500,100,21,111,100,437.236,804.879,1242.115,1.273,210.524,2.957,21.624,345.804,0.772,804.399,582.954,221.445,308.819,True,
core_breakdown,1000,500,100,22,112,100,259.09,772.174,1031.264,1.302,202.007,2.85,19.962,333.375,0.734,771.679,560.23,211.448,295.009,True,
core_breakdown,1000,500,100,23,113,100,768.17,833.713,1601.883,2.228,216.285,3.335,21.459,359.641,0.807,833.042,603.755,229.287,318.145,True,
core_breakdown,1000,500,100,24,114,100,77.384,820.805,898.189,1.318,215.967,2.703,21.335,352.926,0.687,820.132,594.935,225.197,315.199,True,
core_breakdown,1000,500,100,25,115,100,31.658,828.147,859.805,2.062,214.288,3.085,21.288,359.33,0.807,827.462,600.86,226.602,314.402,True,
core_breakdown,1000,500,100,26,116,100,1006.888,794.628,1801.516,1.114,208.931,2.44,20.572,342.676,0.661,794.285,576.396,217.89,304.794,True,
core_breakdown,1000,500,100,27,117,100,513.038,814.628,1327.666,2.143,210.192,2.932,20.8,356.073,0.752,813.985,592.893,221.092,308.393,True,
core_breakdown,1000,500,100,28,118,100,366.995,816.093,1183.088,1.316,213.402,3.137,21.155,351.069,0.782,815.592,590.861,224.731,312.969,True,
core_breakdown,1000,500,100,29,119,100,119.797,814.987,934.784,1.846,210.337,3.086,21.126,356.225,0.792,814.347,593.411,220.935,308.136,True,
core_breakdown,1000,500,100,30,120,100,919.196,824.434,1743.63,2.192,213.619,3.017,21.091,358.932,0.773,823.693,599.624,224.069,312.837,True,
core_breakdown,1000,500,100,31,121,100,486.805,807.917,1294.722,1.609,211.896,2.968,20.81,347.965,0.733,807.352,585.979,221.373,310.066,True,
core_breakdown,1000,500,100,32,122,100,436.577,805.606,1242.183,2.161,210.559,2.997,20.978,345.264,0.785,804.863,582.744,222.119,308.398,True,
core_breakdown,1000,500,100,33,123,100,483.549,776.719,1260.268,0.753,203.545,2.374,19.999,335.738,0.634,776.386,563.044,213.343,297.05,True,
core_breakdown,1000,500,100,34,124,100,806.219,790.593,1596.812,2.202,205.848,3.22,20.358,339.66,0.764,789.89,572.052,217.838,302.617,True,
core_breakdown,1000,500,100,35,125,100,679.713,794.849,1474.562,1.288,208.206,3.021,20.368,341.474,0.76,794.345,575.118,219.228,305.024,True,
core_breakdown,1000,500,100,36,126,100,15.242,800.297,815.539,2.047,207.365,2.906,21.553,343.127,0.769,799.599,577.768,221.831,305.296,True,
core_breakdown,1000,500,100,37,127,100,230.455,794.5,1024.955,1.232,209.066,2.839,20.435,342.562,0.763,793.948,576.897,217.052,305.68,True,
core_breakdown,1000,500,100,38,128,100,490.514,790.636,1281.15,2.443,204.901,3.019,20.349,340.516,0.758,789.937,571.986,217.951,301.786,True,
core_breakdown,1000,500,100,39,129,100,590.592,818.747,1409.339,1.347,214.594,3.294,21.313,351.216,0.867,818.193,592.631,225.562,315.231,True,
core_breakdown,1000,500,100,40,130,100,1004.735,785.392,1790.127,2.17,203.124,3.016,20.836,338.602,0.774,784.741,568.522,216.219,298.638,True,
core_breakdown,1000,500,100,41,131,100,501.06,806.787,1307.847,2.199,210.712,2.945,20.874,346.47,0.765,806.11,583.965,222.146,309.152,True,
core_breakdown,1000,500,100,42,132,100,630.369,755.241,1385.61,2.228,194.497,3.171,19.648,323.882,0.788,754.641,544.214,210.427,287.52,True,
core_breakdown,1000,500,100,43,133,100,559.067,739.616,1298.683,2.37,190.621,3.123,19.403,317.933,0.787,738.989,534.236,204.753,281.052,True,
core_breakdown,1000,500,100,44,134,100,502.23,791.467,1293.697,1.303,205.479,3.805,20.279,342.898,0.817,791.019,574.582,216.437,301.968,True,
core_breakdown,1000,500,100,45,135,100,920.543,801.644,1722.187,1.288,210.757,3.214,20.71,343.944,0.796,801.155,580.708,220.447,308.368,True,
