Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (current US$) [NY.GDP.PCAP.CD],GNI (current US$) [NY.GNP.MKTP.CD],Gross savings (% of GDP) [NY.GNS.ICTR.ZS],"Government expenditure on education, total (% of government expenditure) [SE.XPD.TOTL.GB.ZS]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS],Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS],Employment in services (% of total employment) (modeled ILO estimate) [SL.SRV.EMPL.ZS],"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.ZS]",Poverty gap at $2.15 a day (2017 PPP) (%) [SI.POV.GAPS],"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative) [SE.SEC.CUAT.UP.ZS]",Gini index [SI.POV.GINI],"Population ages 00-04, female (% of female population) [SP.POP.0004.FE.5Y]","Population ages 00-04, male (% of male population) [SP.POP.0004.MA.5Y]","Population ages 05-09, female (% of female population) [SP.POP.0509.FE.5Y]","Population ages 05-09, male (% of male population) [SP.POP.0509.MA.5Y]","Population ages 10-14, female (% of female population) [SP.POP.1014.FE.5Y]","Population ages 10-14, male (% of male population) [SP.POP.1014.MA.5Y]","Population ages 15-19, female (% of female population) [SP.POP.1519.FE.5Y]","Population ages 15-19, male (% of male population) [SP.POP.1519.MA.5Y]","Population ages 20-24, female (% of female population) [SP.POP.2024.FE.5Y]","Population ages 20-24, male (% of male population) [SP.POP.2024.MA.5Y]","Population ages 25-29, female (% of female population) [SP.POP.2529.FE.5Y]","Population ages 25-29, male (% of male population) [SP.POP.2529.MA.5Y]","Population ages 30-34, female (% of female population) [SP.POP.3034.FE.5Y]","Population ages 30-34, male (% of male population) [SP.POP.3034.MA.5Y]","Population ages 35-39, female (% of female population) [SP.POP.3539.FE.5Y]","Population ages 35-39, male (% of male population) [SP.POP.3539.MA.5Y]","Population ages 40-44, female (% of female population) [SP.POP.4044.FE.5Y]","Population ages 40-44, male (% of male population) [SP.POP.4044.MA.5Y]","Population ages 45-49, female (% of female population) [SP.POP.4549.FE.5Y]","Population ages 45-49, male (% of male population) [SP.POP.4549.MA.5Y]","Population ages 50-54, female (% of female population) [SP.POP.5054.FE.5Y]","Population ages 50-54, male (% of male population) [SP.POP.5054.MA.5Y]","Population ages 55-59, female (% of female population) [SP.POP.5559.FE.5Y]","Population ages 55-59, male (% of male population) [SP.POP.5559.MA.5Y]","Population ages 60-64, female (% of female population) [SP.POP.6064.FE.5Y]","Population ages 60-64, male (% of male population) [SP.POP.6064.MA.5Y]","Population ages 65-69, female (% of female population) [SP.POP.6569.FE.5Y]","Population ages 65-69, male (% of male population) [SP.POP.6569.MA.5Y]","Population ages 70-74, female (% of female population) [SP.POP.7074.FE.5Y]","Population ages 70-74, male (% of male population) [SP.POP.7074.MA.5Y]","Population ages 75-79, female (% of female population) [SP.POP.7579.FE.5Y]","Population ages 75-79, male (% of male population) [SP.POP.7579.MA.5Y]","Population ages 80 and above, female (% of female population) [SP.POP.80UP.FE.5Y]","Population ages 80 and above, male (% of male population) [SP.POP.80UP.MA.5Y]",Population growth (annual %) [SP.POP.GROW],"Population, total [SP.POP.TOTL]","Population, male [SP.POP.TOTL.MA.IN]","Population, female [SP.POP.TOTL.FE.IN]","Goods exports (BoP, current US$) [BX.GSR.MRCH.CD]","Goods imports (BoP, current US$) [BM.GSR.MRCH.CD]","Government expenditure per student, primary (% of GDP per capita) [SE.XPD.PRIM.PC.ZS]","Government expenditure per student, secondary (% of GDP per capita) [SE.XPD.SECO.PC.ZS]","Government expenditure per student, tertiary (% of GDP per capita) [SE.XPD.TERT.PC.ZS]"
2014,YR2014,Brunei Darussalam,BRN,17097797371.9718,-2.50788721630481,41026.508391054,17082574490.2948,59.8076366760422,9.98460006713867,1.91436803,6.862,-0.207108731719822,1.36540360404838,16.9968320579281,81.6372500617131,69.15,..,70.6455535888672,..,8.12593504451258,7.80885886566623,7.69546412614913,7.50782064650678,8.57985375712673,8.39461395475359,8.72512813454956,8.93752550210818,8.93488394616183,9.32085052364329,9.30393183828158,10.0800199483157,9.02102910330028,9.74701908691119,8.46618292847658,8.70607970258875,7.90420046844615,7.72815886113252,6.56487265553916,6.46053407081652,5.34303868121449,5.28403681370993,4.12426311483557,3.89604207281135,2.84253531824009,2.56902570612504,1.67855622755575,1.44534614861495,1.16015608075216,0.980414380922156,0.799518810483203,0.589835426395249,0.730449764375154,0.543818288978556,1.34019436885468,416750,220570,196180,11111405941.3127,3667930426.78634,..,10.13979,49.20882
2014,YR2014,Cambodia,KHM,22041463967.9009,8.00032074618566,1431.56396469993,21110279792.7028,21.2940234572975,13.6572694778442,6.70157766,0.692,3.85568861424207,45.9960130946944,23.7681169843844,30.2358699209212,83.035,..,10.0699996948242,..,10.9789641677423,12.0097570269834,10.2705667426832,11.2248453727035,9.42277001240014,10.2583432745941,9.57266296639716,10.3668012539959,10.0026614786338,10.6338847661744,9.06685513784334,9.13975518819385,8.13281254213082,8.22076624035667,5.52412571695761,5.5836932632979,5.23626094925648,5.0857565128674,5.11695438022601,4.80090380097219,4.58229853415654,4.05401198060516,3.86104099660479,2.88189675795596,3.03860920452876,2.15733119526375,2.1235554182344,1.53406537202757,1.44932262355177,1.01820641117516,0.937246521123861,0.618189859408442,0.683292607528971,0.411791723424768,1.4824372519955,15396772,7515814,7880958,8168535517.63021,12021985931.9284,6.63865,..,..
2014,YR2014,Timor-Leste,TLS,1447535200,4.47249846569638,1224.74957758801,3337734900,105.938983786512,8.27816772460938,7.60483742,3.618,0.848838206293388,52.0915912357337,9.32959059648238,38.5786007353565,67.219,5.1,..,28.7,12.9925534279909,13.3898126194139,13.2868145181442,13.6694665300393,12.9586035394051,13.2486975108724,11.2850636000324,11.2961065360895,9.51174200842026,9.16533488244147,7.88697272117836,7.52938028194765,5.96010112586103,5.73942904062503,4.74031781921081,4.73167768245444,4.3693678944348,4.6199823315241,3.6393591226108,3.92180328154957,2.86247537771405,3.02948707400565,2.43353490720651,2.47150895931347,2.59828665080041,2.37252892735065,2.46567528396411,2.15811374476116,1.60365831591319,1.45245509539398,0.86408498156883,0.770066310803949,0.541388705544172,0.434149191413752,1.98314794878844,1181903,601636,580267,15482722.3157895,764240628.943498,8.34206,7.92381,..
2014,YR2014,Indonesia,IDN,890814755511.014,5.006668425755,3441.06808455308,860946502311.299,30.6689094593454,16.4595470428467,2.96433568,4.049,6.39492540819922,34.2823881130801,21.3958848249194,44.3217262325252,69.063,1.6,31.0900001525879,38.8,9.28981350794479,9.69975473804596,8.88260408110358,9.27060293870996,8.38995826046426,8.7643699425414,8.46674313280828,8.83013939625845,8.12502472216689,8.46775602774925,8.04425092952922,8.33537348837566,8.13141498877605,8.3373026139182,7.62464360157491,7.70817543832976,7.06183717840504,7.0569923247066,6.33281164330403,6.26093638169622,5.34288223702593,5.21156514492576,4.25131549868533,4.04360055974864,3.1275455731039,2.85178895286585,2.47609074200317,2.0336470794364,2.0085585488377,1.5146419417448,1.38139037866294,0.964458951478778,1.06311497560396,0.648894079468337,1.17536091203837,258877399,130033009,128844390,175292794720.977,168310224943.63,12.27912,9.95311,19.53687
2014,YR2014,Lao PDR,LAO,13279245886.3854,7.61196343979319,1981.03910900473,12693401481.3153,10.1718371634744,11.7573499679565,2.29845548,2.119,4.12924306873771,65.6271948361023,9.14603250057892,25.2268108759168,62.611,..,..,..,11.393395863858,11.7025741642443,11.0588505512454,11.2816737219504,10.9131578315279,11.0842107775717,10.7445415896044,10.8749317834392,10.1318365239113,10.1734705813719,9.01221687123195,9.1435765685213,7.43744445511974,7.59515515273912,6.1303983618764,6.20744387413431,5.19153976412942,5.18210133841596,4.53660557730646,4.3696552574824,3.85038611197848,3.65385764373142,2.94805202603704,2.88836442298612,2.17450700165734,2.09207830972075,1.58937921840847,1.42166203636645,1.15231607138568,0.967003569870289,0.786095164893234,0.644174857966486,0.94927701582879,0.718065939487889,1.37876842701215,6703172,3372532,3330640,3276461743.33464,4975881674.76511,9.10321,12.53244,20.34415
2014,YR2014,Malaysia,MYS,338066095097.254,6.00672194558203,11013.3107334403,326875882255.886,29.3665669513565,21.3920650482178,3.71036959,2.88,3.14299050879095,12.5830993974913,27.7491722763467,59.6677353215023,68.033,..,..,..,8.39105422245621,8.24412489622594,8.72106406499874,8.57451316740804,9.18056703366739,9.24638179228424,9.24744348525127,9.53448305676607,9.48012015301884,9.83277283524067,9.41819296161955,9.76916784299344,8.40524323941299,8.90911082158837,6.95259100255901,7.21676437410042,6.2096114769316,6.12868716323573,5.61662184116029,5.46698212632418,4.97068877454543,4.86556691992031,4.14628879895723,3.99343946939964,3.26630351157178,3.08297578763523,2.32602940857228,2.14319909680537,1.5740012700143,1.39501320534233,1.03144971544826,0.86026577689055,1.06272903981485,0.736551667839488,1.7147407282165,30696137,16047483,14648654,207482725606.648,172877628664.176,15.79552,..,..
2014,YR2014,Myanmar,MMR,65531374199.6742,8.1699074556052,1293.00042298704,62535394200.1764,..,7.53750991821289,4.39,0.763,4.953299184844,52.3276647941517,16.5558310713382,31.1165041345101,68.728,..,..,..,8.55362018275044,9.06706525005335,8.58165440735738,9.06003219278711,8.95367625119966,9.4105487796371,8.91549217942652,9.31142792562832,8.7150011766297,9.04496615496811,8.4438000972628,8.71814537864901,8.1048578504251,8.30542407793932,7.32443271328051,7.43357792194678,6.72832620016968,6.74219420557498,6.06950616127441,5.96405627536638,5.27985908418709,5.04380276596171,4.46971530486431,4.1001439375738,3.57820135133631,3.10140830697534,2.40914857419963,1.98189142880382,1.71111411219817,1.31991652340032,1.18681106951946,0.826833799035418,0.974783283918826,0.568565075699133,0.830118073348831,50681634,25301941,25379693,10026283739.6235,11898723638.3403,..,..,..
2014,YR2014,Philippines,PHL,297483555344.802,6.34798748029741,2866.83803767919,331766346480.069,37.3474479750104,15.5159406661987,3.7,3.6,3.59782343864211,30.4201331969849,15.9348812356429,53.6449855673722,63.728,..,..,..,11.471136492524,12.2224764687365,11.0153598503082,11.7271862150515,10.5021652869177,11.1630046578556,10.0160492079074,10.6244781000028,9.34357695573371,9.82184325766702,8.42989195671185,8.70661477350384,7.25412218010713,7.33543328093014,6.19371270763449,6.14425908827392,5.48213321753114,5.33625713945375,5.05360439698695,4.80535509767956,4.51327619364139,4.16058344209834,3.56562987506943,3.11974005928522,2.61813160567236,2.1197699949167,1.77238859858403,1.26178830663558,1.24134781994832,0.718844827459284,0.849359083994016,0.434640606715684,0.678114570727886,0.297724683734468,1.64283283802775,103767130,52095110,51672020,49823702338.3837,67154110407.5841,..,..,..
2014,YR2014,Singapore,SGP,314863580758.455,3.93554027709007,57564.8023114977,303910658616.471,47.2950477994746,19.9617767333984,3.87155652,3.74,1.02514803039391,0.283844207229535,17.5231334462932,82.1930542140205,73.301,..,69.5500030517578,..,4.3066284051768,4.06651953228979,4.27706142683932,4.02299524452967,4.58438113795956,4.52253576315647,7.52212380874202,8.09299741986902,10.021725385058,11.320987509562,9.89982407840133,11.0376683722284,9.33378369467654,9.84140673578167,8.3216625792594,8.51226214116745,7.65951990378621,7.6708625806805,6.90492755417457,6.8799525940528,6.59520480515304,6.53741102415782,5.90637879682392,5.70981953083723,4.71035799689681,4.46511590463578,3.45839447462767,2.94841610619156,2.36816501526698,1.82341739686958,1.76490638052701,1.26274686732758,2.36495455663086,1.28488527666274,1.29844017799226,5469724,2863215,2606509,450614735014.404,363919813740.578,..,..,..
2014,YR2014,Thailand,THA,407339040197.651,0.984468863619426,5801.1978916205,386381481702.815,27.4850789547057,16.8993759155273,3.68448091,0.576,1.8951418189878,33.4930313939608,23.5536900975609,42.9532785084783,75.884,0,31.038179397583,37,5.48382404597477,6.00611280776282,5.84477844669585,6.38892400452876,6.2984742584571,6.90460615895543,6.95306796377983,7.54821663520776,7.08882547250685,7.49506014946178,7.04552333929315,7.38313317707987,7.60506351306703,7.89002247495805,7.76273919510612,7.87459844158519,8.1762007448926,8.05796212838407,8.11236714981806,7.86432105799725,7.43876329903954,7.17169080438664,6.30451325362439,5.96625340144428,4.98608296948399,4.59253776873358,3.65827520689482,3.27481890108508,2.72000015928253,2.29089434665914,2.13647366316669,1.6608471808043,2.38502731891666,1.63000056096602,0.530129864137193,70216367,34556461,35659906,226638126269.382,209422248389.821,..,..,..
