scenario,poller_interval_ms,scheduler_interval_ms,total_active_sessions,background_active_sessions,requested_affected_session_count,iteration,trigger_event_id,measured_affected_session_count,active_sessions_before_event,active_sessions_after_event,poller_wait_ms,event_processing_latency_ms,event_end_to_end_latency_ms,dependency_lookup_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,total_core_ms,measured_component_sum_ms,unattributed_core_ms,reevaluation_total_ms,last_revoke_latency_ms,success,error
scalability,1000,500,1000,990,10,35,65,10,1000,990,859.512,96.822,956.334,0.713,26.02,0.557,2.55,39.176,0.131,96.457,69.146,27.311,38.66,952.896,True,
scalability,1000,500,1000,990,10,36,66,10,1000,990,997.672,102.349,1100.021,0.768,27.306,0.695,2.73,41.009,0.143,101.84,72.651,29.189,40.912,1096.229,True,
scalability,1000,500,1000,990,10,37,67,10,1000,990,5.491,91.552,97.043,0.467,23.979,0.428,2.344,37.511,0.1,91.229,64.828,26.401,35.762,93.431,True,
scalability,1000,500,1000,990,10,38,68,10,1000,990,477.661,96.512,574.173,0.521,25.451,0.843,2.457,39.614,0.176,96.009,69.063,26.946,37.951,570.585,True,
scalability,1000,500,1000,990,10,39,69,10,1000,990,812.305,94.967,907.272,0.673,24.339,0.529,2.467,38.269,0.118,94.429,66.396,28.032,37.26,903.035,True,
scalability,1000,500,1000,990,10,40,70,10,1000,990,247.9,109.772,357.672,0.824,29.106,0.759,2.897,43.831,0.172,109.058,77.588,31.47,44.147,352.999,True,
scalability,1000,500,1000,990,10,41,71,10,1000,990,699.64,97.418,797.058,0.514,26.024,0.493,2.576,39.604,0.105,96.869,69.317,27.552,38.455,792.33,True,
scalability,1000,500,1000,990,10,42,72,10,1000,990,111.451,109.356,220.807,0.846,28.423,0.769,2.856,44.253,0.14,108.724,77.287,31.438,43.146,215.752,True,
scalability,1000,500,1000,990,10,43,73,10,1000,990,368.511,86.539,455.05,0.382,22.694,0.465,2.231,35.912,0.106,86.152,61.79,24.363,33.752,451.018,True,
scalability,1000,500,1000,990,10,44,74,10,1000,990,1010.286,109.613,1119.899,0.496,28.652,0.8,2.881,45.876,0.165,109.119,78.87,30.249,42.672,1114.77,True,
scalability,1000,500,1000,990,10,45,75,10,1000,990,4.417,104.835,109.252,0.44,28.176,0.795,2.661,42.47,0.157,104.355,74.699,29.656,42.203,104.432,True,
scalability,1000,500,1000,990,10,46,76,10,1000,990,23.186,108.092,131.278,0.868,27.937,0.817,2.804,44.459,0.157,107.506,77.042,30.464,42.207,126.571,True,
scalability,1000,500,1000,990,10,47,77,10,1000,990,285.017,103.786,388.803,0.584,27.542,0.695,2.647,42.821,0.18,103.273,74.468,28.805,40.788,384.704,True,
scalability,1000,500,1000,990,10,48,78,10,1000,990,221.049,108.289,329.338,0.794,28.235,0.598,2.815,44.006,0.126,107.778,76.575,31.203,42.516,324.741,True,
scalability,1000,500,1000,990,10,49,79,10,1000,990,484.351,95.335,579.686,0.498,25.591,0.382,2.576,38.984,0.094,94.949,68.125,26.824,37.86,575.474,True,
scalability,1000,500,1000,990,10,50,80,10,1000,990,96.67,95.058,191.728,0.376,25.062,0.885,2.553,39.351,0.219,94.682,68.446,26.236,37.368,187.167,True,
