scenario,poller_interval_ms,scheduler_interval_ms,total_active_sessions,requested_affected_session_count,iteration,trigger_event_id,session_sequence,session_id,reevaluation_duration_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,final_status
scalability,1000,500,1000,10,1,91,1,1891,6.143,3.826,0.254,0.441,6.314,0.055,REVOKED
scalability,1000,500,1000,10,1,91,2,1892,4.078,2.534,0.084,0.307,4.544,0.024,REVOKED
scalability,1000,500,1000,10,1,91,3,1893,4.109,2.785,0.048,0.271,4.167,0.012,REVOKED
scalability,1000,500,1000,10,1,91,4,1894,3.68,2.49,0.049,0.25,3.923,0.009,REVOKED
scalability,1000,500,1000,10,1,91,5,1895,3.651,2.493,0.054,0.235,3.797,0.01,REVOKED
scalability,1000,500,1000,10,1,91,6,1896,3.546,2.425,0.034,0.218,3.702,0.006,REVOKED
scalability,1000,500,1000,10,1,91,7,1897,3.409,2.334,0.028,0.221,3.661,0.006,REVOKED
scalability,1000,500,1000,10,1,91,8,1898,3.419,2.332,0.031,0.229,3.684,0.006,REVOKED
scalability,1000,500,1000,10,1,91,9,1899,3.43,2.36,0.026,0.225,3.759,0.007,REVOKED
scalability,1000,500,1000,10,1,91,10,1900,3.482,2.378,0.027,0.24,3.866,0.006,REVOKED
scalability,1000,500,1000,10,2,92,1,1901,6.683,4.187,0.138,0.379,4.986,0.025,REVOKED
scalability,1000,500,1000,10,2,92,2,1902,5.572,3.424,0.126,0.372,5.062,0.022,REVOKED
scalability,1000,500,1000,10,2,92,3,1903,4.884,3.318,0.101,0.25,4.844,0.019,REVOKED
scalability,1000,500,1000,10,2,92,4,1904,4.371,2.894,0.053,0.272,4.381,0.014,REVOKED
scalability,1000,500,1000,10,2,92,5,1905,4.129,2.795,0.051,0.268,4.003,0.007,REVOKED
scalability,1000,500,1000,10,2,92,6,1906,3.755,2.495,0.047,0.239,3.558,0.01,REVOKED
scalability,1000,500,1000,10,2,92,7,1907,4.054,2.922,0.057,0.242,3.758,0.01,REVOKED
scalability,1000,500,1000,10,2,92,8,1908,3.316,2.267,0.033,0.228,3.55,0.008,REVOKED
scalability,1000,500,1000,10,2,92,9,1909,3.465,2.352,0.036,0.239,3.749,0.01,REVOKED
scalability,1000,500,1000,10,2,92,10,1910,3.406,2.33,0.043,0.242,3.787,0.007,REVOKED
scalability,1000,500,1000,10,3,93,1,1911,5.091,3.365,0.126,0.357,5.407,0.05,REVOKED
scalability,1000,500,1000,10,3,93,2,1912,4.955,3.353,0.105,0.246,4.618,0.019,REVOKED
scalability,1000,500,1000,10,3,93,3,1913,4.433,3.047,0.038,0.239,4.403,0.016,REVOKED
scalability,1000,500,1000,10,3,93,4,1914,4.029,2.726,0.038,0.222,3.942,0.008,REVOKED
scalability,1000,500,1000,10,3,93,5,1915,3.449,2.394,0.036,0.246,4.034,0.01,REVOKED
scalability,1000,500,1000,10,3,93,6,1916,3.474,2.349,0.032,0.241,3.73,0.007,REVOKED
scalability,1000,500,1000,10,3,93,7,1917,3.426,2.347,0.027,0.26,3.752,0.006,REVOKED
scalability,1000,500,1000,10,3,93,8,1918,3.463,2.374,0.032,0.216,4.268,0.006,REVOKED
scalability,1000,500,1000,10,3,93,9,1919,3.671,2.499,0.036,0.254,3.813,0.005,REVOKED
scalability,1000,500,1000,10,3,93,10,1920,3.604,2.482,0.046,0.237,3.712,0.006,REVOKED
scalability,1000,500,1000,10,4,94,1,1921,7.292,4.959,0.268,0.496,8.456,0.055,REVOKED
scalability,1000,500,1000,10,4,94,2,1922,6.62,4.329,0.308,0.457,5.943,0.036,REVOKED
scalability,1000,500,1000,10,4,94,3,1923,5.266,3.551,0.117,0.266,5.097,0.021,REVOKED
scalability,1000,500,1000,10,4,94,4,1924,4.434,3.015,0.036,0.278,4.323,0.015,REVOKED
scalability,1000,500,1000,10,4,94,5,1925,3.817,2.55,0.04,0.244,3.874,0.009,REVOKED
scalability,1000,500,1000,10,4,94,6,1926,3.611,2.465,0.041,0.236,4.134,0.009,REVOKED
scalability,1000,500,1000,10,4,94,7,1927,3.494,2.361,0.036,0.232,3.776,0.008,REVOKED
