scenario,poller_interval_ms,scheduler_interval_ms,total_active_sessions,background_active_sessions,requested_affected_session_count,iteration,trigger_event_id,measured_affected_session_count,active_sessions_before_event,active_sessions_after_event,poller_wait_ms,event_processing_latency_ms,event_end_to_end_latency_ms,dependency_lookup_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,total_core_ms,measured_component_sum_ms,unattributed_core_ms,reevaluation_total_ms,last_revoke_latency_ms,success,error
scalability,1000,500,100,90,10,1,31,10,100,90,666.793,113.743,780.536,0.94,30.016,0.871,2.964,46.119,0.224,113.099,81.133,31.965,45.155,776.648,True,
scalability,1000,500,100,90,10,2,32,10,100,90,986.594,113.82,1100.414,0.556,30.759,0.839,2.97,45.748,0.218,113.313,81.091,32.222,46.2,1095.829,True,
scalability,1000,500,100,90,10,3,33,10,100,90,751.279,112.371,863.65,0.542,31.459,0.9,3.187,44.258,0.209,111.899,80.556,31.344,45.971,859.165,True,
scalability,1000,500,100,90,10,4,34,10,100,90,990.989,112.189,1103.178,0.622,30.236,0.822,2.945,45.62,0.236,111.722,80.481,31.241,44.842,1098.644,True,
scalability,1000,500,100,90,10,5,35,10,100,90,164.515,105.871,270.386,0.553,27.787,0.837,2.822,43.165,0.209,105.339,75.372,29.967,41.643,266.318,True,
scalability,1000,500,100,90,10,6,36,10,100,90,774.743,98.433,873.176,0.537,26.423,0.833,2.696,39.341,0.195,97.958,70.025,27.933,39.461,869.568,True,
scalability,1000,500,100,90,10,7,37,10,100,90,590.672,96.57,687.242,0.878,25.249,0.757,2.604,37.577,0.225,95.904,67.29,28.614,38.71,683.611,True,
scalability,1000,500,100,90,10,8,38,10,100,90,311.008,101.931,412.939,0.546,27.428,0.858,2.648,40.707,0.209,101.47,72.397,29.074,41.169,409.318,True,
scalability,1000,500,100,90,10,9,39,10,100,90,421.169,103.648,524.817,0.95,26.094,0.45,2.622,42.717,0.205,103.179,73.038,30.141,39.588,520.308,True,
scalability,1000,500,100,90,10,10,40,10,100,90,293.373,100.851,394.224,0.942,26.792,0.826,2.627,40.397,0.166,100.244,71.748,28.496,40.276,390.596,True,
scalability,1000,500,100,90,10,11,41,10,100,90,248.952,102.244,351.196,0.881,27.516,0.88,2.678,40.406,0.18,101.583,72.541,29.042,41.232,347.345,True,
scalability,1000,500,100,90,10,12,42,10,100,90,638.307,102.761,741.068,0.947,27.063,0.782,2.765,40.581,0.179,102.158,72.316,29.842,41.151,737.41,True,
scalability,1000,500,100,90,10,13,43,10,100,90,824.023,102.622,926.645,0.889,26.401,0.818,2.803,40.828,0.169,101.988,71.906,30.082,40.449,922.797,True,
scalability,1000,500,100,90,10,14,44,10,100,90,912.548,99.49,1012.038,0.501,26.142,0.78,2.736,41.562,0.165,99.023,71.886,27.137,38.433,1008.377,True,
scalability,1000,500,100,90,10,15,45,10,100,90,638.258,103.643,741.901,0.915,27.409,0.859,2.783,41.594,0.17,102.957,73.73,29.227,41.16,737.828,True,
scalability,1000,500,100,90,10,16,46,10,100,90,111.515,97.547,209.062,0.432,25.934,0.572,2.665,39.635,0.094,97.171,69.331,27.84,38.606,204.989,True,
scalability,1000,500,100,90,10,17,47,10,100,90,22.073,112.726,134.799,0.846,29.738,0.822,2.899,44.541,0.167,112.062,79.013,33.049,44.929,130.156,True,
scalability,1000,500,100,90,10,18,48,10,100,90,175.147,119.007,294.154,0.898,30.617,0.898,3.105,49.52,0.173,118.356,85.212,33.144,46.988,290.097,True,
scalability,1000,500,100,90,10,19,49,10,100,90,873.926,108.546,982.472,0.533,29.446,0.792,2.774,43.054,0.143,108.025,76.743,31.282,44.281,977.876,True,
scalability,1000,500,100,90,10,20,50,10,100,90,585.325,113.856,699.181,0.933,30.31,0.764,2.905,45.565,0.167,113.16,80.644,32.516,45.731,694.526,True,
scalability,1000,500,100,90,10,21,51,10,100,90,155.586,111.937,267.523,0.941,30.054,0.852,2.896,44.126,0.167,111.306,79.036,32.27,45.818,263.257,True,
scalability,1000,500,100,90,10,22,52,10,100,90,59.978,109.268,169.246,0.931,29.918,0.822,2.972,42.355,0.154,108.547,77.153,31.395,44.37,165.0,True,
scalability,1000,500,100,90,10,23,53,10,100,90,145.782,109.391,255.173,0.537,29.062,0.811,3.018,43.996,0.155,108.867,77.578,31.288,44.09,250.657,True,
scalability,1000,500,100,90,10,24,54,10,100,90,815.232,100.841,916.073,0.867,26.506,0.82,2.714,39.772,0.168,100.23,70.847,29.383,40.521,912.442,True,
scalability,1000,500,100,90,10,25,55,10,100,90,169.279,84.539,253.818,0.503,22.662,0.368,2.297,34.21,0.084,84.1,60.124,23.977,33.322,250.126,True,
scalability,1000,500,100,90,10,26,56,10,100,90,88.052,98.099,186.151,0.823,26.19,0.793,2.608,38.861,0.15,97.461,69.426,28.035,39.279,182.579,True,
scalability,1000,500,100,90,10,27,57,10,100,90,672.539,79.857,752.396,0.493,20.854,0.472,2.066,32.613,0.099,79.481,56.597,22.884,31.145,748.686,True,
scalability,1000,500,100,90,10,28,58,10,100,90,196.343,98.711,295.054,0.479,24.719,0.75,2.515,37.73,0.158,98.269,66.351,31.918,36.938,291.359,True,
scalability,1000,500,100,90,10,29,59,10,100,90,23.48,113.922,137.402,0.855,29.924,0.873,2.949,45.945,0.167,113.213,80.712,32.501,45.121,132.916,True,
scalability,1000,500,100,90,10,30,60,10,100,90,344.702,120.365,465.067,0.552,30.852,0.917,3.044,50.658,0.216,119.861,86.239,33.621,46.206,460.363,True,
scalability,1000,500,100,90,10,31,61,10,100,90,977.606,110.782,1088.388,0.69,30.345,0.833,2.92,43.463,0.156,110.17,78.406,31.764,45.598,1084.193,True,
scalability,1000,500,100,90,10,32,62,10,100,90,496.655,111.287,607.942,0.975,29.687,0.84,2.884,44.514,0.168,110.59,79.067,31.523,44.233,603.314,True,
scalability,1000,500,100,90,10,33,63,10,100,90,710.607,104.726,815.333,0.899,28.517,0.825,2.806,41.091,0.162,104.083,74.302,29.781,42.294,811.234,True,
scalability,1000,500,100,90,10,34,64,10,100,90,145.397,117.627,263.024,0.966,31.253,0.925,3.097,46.086,0.198,116.989,82.525,34.464,47.968,258.898,True,
scalability,1000,500,100,90,10,35,65,10,100,90,7.181,105.722,112.903,0.836,27.589,0.867,2.758,41.484,0.184,105.149,73.718,31.432,42.589,109.204,True,
scalability,1000,500,100,90,10,36,66,10,100,90,522.928,104.568,627.496,0.817,27.636,0.821,2.74,41.122,0.175,103.882,73.31,30.571,42.079,622.881,True,
scalability,1000,500,100,90,10,37,67,10,100,90,628.017,112.249,740.266,0.912,30.144,0.815,2.952,44.185,0.161,111.608,79.168,32.439,45.625,735.527,True,
scalability,1000,500,100,90,10,38,68,10,100,90,688.258,104.153,792.411,0.913,28.121,0.9,2.82,39.607,0.162,103.456,72.523,30.933,42.395,788.113,True,
scalability,1000,500,100,90,10,39,69,10,100,90,449.284,82.028,531.312,0.641,21.724,0.334,2.092,33.44,0.079,81.546,58.311,23.235,31.97,527.544,True,
scalability,1000,500,100,90,10,40,70,10,100,90,331.388,99.293,430.681,0.909,26.036,0.794,2.585,39.181,0.161,98.607,69.666,28.942,39.504,426.947,True,
scalability,1000,500,100,90,10,41,71,10,100,90,293.596,99.032,392.628,0.547,26.076,0.711,2.654,39.414,0.151,98.552,69.554,28.999,39.725,388.623,True,
scalability,1000,500,100,90,10,42,72,10,100,90,420.721,110.576,531.297,0.557,29.973,0.83,2.982,43.552,0.15,110.062,78.045,32.018,44.595,526.681,True,
scalability,1000,500,100,90,10,43,73,10,100,90,843.302,109.611,952.913,0.58,29.784,0.778,2.866,43.574,0.162,109.042,77.745,31.297,44.383,948.308,True,
scalability,1000,500,100,90,10,44,74,10,100,90,836.242,106.236,942.478,0.684,28.602,0.817,2.764,42.901,0.163,105.75,75.931,29.82,42.492,938.419,True,
scalability,1000,500,100,90,10,45,75,10,100,90,312.299,102.844,415.143,1.635,26.2,0.84,2.812,39.59,0.16,102.133,71.237,30.896,40.692,411.403,True,
scalability,1000,500,100,90,10,46,76,10,100,90,591.357,105.656,697.013,0.905,27.982,0.761,2.741,42.091,0.174,104.919,74.654,30.265,41.952,693.447,True,
scalability,1000,500,100,90,10,47,77,10,100,90,922.947,103.895,1026.842,0.871,26.963,0.937,2.731,41.222,0.181,103.226,72.904,30.321,41.514,1023.143,True,
scalability,1000,500,100,90,10,48,78,10,100,90,890.505,111.469,1001.974,1.035,29.688,0.843,2.985,44.227,0.148,110.772,78.926,31.846,44.867,997.304,True,
scalability,1000,500,100,90,10,49,79,10,100,90,425.041,103.202,528.243,0.907,27.263,0.87,2.781,40.332,0.166,102.582,72.319,30.263,42.198,524.556,True,
scalability,1000,500,100,90,10,50,80,10,100,90,935.652,101.607,1037.259,0.878,26.288,0.761,2.708,40.48,0.161,100.787,71.277,29.51,40.208,1033.587,True,
