scenario,poller_interval_ms,scheduler_interval_ms,total_active_sessions,background_active_sessions,requested_affected_session_count,iteration,trigger_event_id,measured_affected_session_count,active_sessions_before_event,active_sessions_after_event,poller_wait_ms,event_processing_latency_ms,event_end_to_end_latency_ms,dependency_lookup_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,total_core_ms,measured_component_sum_ms,unattributed_core_ms,reevaluation_total_ms,last_revoke_latency_ms,success,error
scalability,1000,500,100,90,10,1,91,10,100,90,124.561,82.732,207.293,0.747,21.762,0.315,2.34,33.361,0.078,82.352,58.603,23.749,32.548,203.685,True,
scalability,1000,500,100,90,10,2,92,10,100,90,729.869,92.192,822.061,0.509,24.58,0.822,2.419,37.16,0.171,91.68,65.661,26.019,37.062,818.484,True,
scalability,1000,500,100,90,10,3,93,10,100,90,973.239,100.821,1074.06,0.498,27.211,0.885,2.745,40.672,0.161,100.349,72.173,28.176,40.176,1070.388,True,
scalability,1000,500,100,90,10,4,94,10,100,90,110.722,111.101,221.823,0.876,28.508,0.878,2.716,46.29,0.197,110.43,79.465,30.965,43.244,217.527,True,
scalability,1000,500,100,90,10,5,95,10,100,90,591.159,105.274,696.433,0.599,28.555,0.672,2.751,41.888,0.158,104.737,74.623,30.113,42.638,691.9,True,
scalability,1000,500,100,90,10,6,96,10,100,90,628.997,100.676,729.673,0.478,27.113,0.4,2.555,41.538,0.104,100.282,72.188,28.094,39.739,725.623,True,
scalability,1000,500,100,90,10,7,97,10,100,90,630.319,104.001,734.32,0.562,27.479,0.765,2.909,42.697,0.166,103.535,74.578,28.957,40.818,729.821,True,
scalability,1000,500,100,90,10,8,98,10,100,90,730.116,117.977,848.093,0.896,31.147,0.915,3.169,47.488,0.172,117.279,83.788,33.492,46.849,843.376,True,
scalability,1000,500,100,90,10,9,99,10,100,90,751.96,116.883,868.843,0.524,30.386,0.886,3.645,44.603,0.176,116.394,80.221,36.173,50.081,864.61,True,
scalability,1000,500,100,90,10,10,100,10,100,90,907.671,114.322,1021.993,0.897,30.346,0.829,3.054,45.606,0.161,113.629,80.894,32.736,46.093,1017.376,True,
scalability,1000,500,100,90,10,11,101,10,100,90,383.272,109.567,492.839,0.552,28.888,0.806,2.88,44.669,0.174,109.022,77.969,31.053,43.347,488.144,True,
scalability,1000,500,100,90,10,12,102,10,100,90,640.848,158.321,799.169,0.461,71.21,0.582,2.84,51.483,0.144,157.916,126.72,31.196,85.42,794.943,True,
scalability,1000,500,100,90,10,13,103,10,100,90,986.614,106.285,1092.899,0.894,27.628,0.876,2.786,42.03,0.195,105.532,74.41,31.121,42.374,1089.137,True,
scalability,1000,500,100,90,10,14,104,10,100,90,1011.048,104.641,1115.689,0.427,27.576,0.495,2.905,42.556,0.138,104.189,74.098,30.092,40.969,1110.28,True,
scalability,1000,500,100,90,10,15,105,10,100,90,539.762,113.074,652.836,0.916,28.75,0.844,2.836,46.579,0.173,112.368,80.098,32.271,43.829,648.033,True,
scalability,1000,500,100,90,10,16,106,10,100,90,620.877,109.176,730.053,0.93,29.042,0.818,2.755,43.36,0.153,108.448,77.059,31.389,43.949,725.267,True,
scalability,1000,500,100,90,10,17,107,10,100,90,858.751,115.678,974.429,0.799,30.367,0.684,2.957,47.721,0.182,115.054,82.711,32.343,45.488,969.707,True,
scalability,1000,500,100,90,10,18,108,10,100,90,52.455,109.644,162.099,0.865,28.662,0.78,2.89,43.665,0.169,108.96,77.031,31.929,43.807,157.324,True,
scalability,1000,500,100,90,10,19,109,10,100,90,890.993,107.787,998.78,1.481,28.81,0.617,2.867,42.691,0.152,107.213,76.617,30.596,43.064,993.888,True,
scalability,1000,500,100,90,10,20,110,10,100,90,59.955,110.479,170.434,0.799,29.362,1.11,2.915,44.005,0.253,109.826,78.444,31.382,44.335,165.927,True,
scalability,1000,500,100,90,10,21,111,10,100,90,816.347,104.889,921.236,0.47,28.254,0.506,3.058,43.24,0.103,104.526,75.632,28.894,41.233,916.395,True,
scalability,1000,500,100,90,10,22,112,10,100,90,194.468,111.1,305.568,0.534,29.45,0.877,2.847,45.347,0.18,110.594,79.235,31.359,44.225,301.229,True,
scalability,1000,500,100,90,10,23,113,10,100,90,1002.387,101.19,1103.577,0.597,26.942,0.614,2.642,41.517,0.13,100.743,72.441,28.302,40.09,1099.587,True,
