scenario,poller_interval_ms,scheduler_interval_ms,total_active_sessions,requested_affected_session_count,iteration,trigger_event_id,session_sequence,session_id,reevaluation_duration_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,final_status
scalability,1000,500,500,10,1,91,1,1391,6.025,3.749,0.288,0.458,6.652,0.065,REVOKED
scalability,1000,500,500,10,1,91,2,1392,5.358,3.516,0.073,0.383,5.278,0.026,REVOKED
scalability,1000,500,500,10,1,91,3,1393,4.85,3.245,0.074,0.315,4.591,0.017,REVOKED
scalability,1000,500,500,10,1,91,4,1394,4.122,2.77,0.086,0.272,4.311,0.014,REVOKED
scalability,1000,500,500,10,1,91,5,1395,4.054,2.745,0.045,0.247,3.973,0.008,REVOKED
scalability,1000,500,500,10,1,91,6,1396,3.453,2.366,0.032,0.23,3.802,0.014,REVOKED
scalability,1000,500,500,10,1,91,7,1397,3.914,2.565,0.091,0.232,3.811,0.007,REVOKED
scalability,1000,500,500,10,1,91,8,1398,3.59,2.444,0.037,0.217,3.662,0.006,REVOKED
scalability,1000,500,500,10,1,91,9,1399,3.459,2.378,0.034,0.215,3.544,0.014,REVOKED
scalability,1000,500,500,10,1,91,10,1400,3.062,2.121,0.045,0.186,2.928,0.009,REVOKED
scalability,1000,500,500,10,2,92,1,1401,6.636,4.3,0.246,0.442,7.291,0.048,REVOKED
scalability,1000,500,500,10,2,92,2,1402,5.205,3.412,0.086,0.318,4.841,0.015,REVOKED
scalability,1000,500,500,10,2,92,3,1403,4.06,2.767,0.05,0.265,4.275,0.015,REVOKED
scalability,1000,500,500,10,2,92,4,1404,4.304,2.93,0.071,0.281,4.407,0.014,REVOKED
scalability,1000,500,500,10,2,92,5,1405,4.086,2.776,0.052,0.273,4.117,0.01,REVOKED
scalability,1000,500,500,10,2,92,6,1406,3.577,2.458,0.038,0.231,3.789,0.008,REVOKED
scalability,1000,500,500,10,2,92,7,1407,3.495,2.405,0.03,0.222,4.102,0.01,REVOKED
scalability,1000,500,500,10,2,92,8,1408,3.535,2.44,0.039,0.233,3.713,0.008,REVOKED
scalability,1000,500,500,10,2,92,9,1409,3.615,2.471,0.035,0.233,3.678,0.007,REVOKED
scalability,1000,500,500,10,2,92,10,1410,3.43,2.332,0.028,0.236,3.541,0.006,REVOKED
scalability,1000,500,500,10,3,93,1,1411,6.326,3.979,0.294,0.447,6.816,0.052,REVOKED
scalability,1000,500,500,10,3,93,2,1412,6.244,4.126,0.133,0.403,6.038,0.026,REVOKED
scalability,1000,500,500,10,3,93,3,1413,5.371,3.626,0.106,0.342,5.142,0.02,REVOKED
scalability,1000,500,500,10,3,93,4,1414,4.587,3.115,0.058,0.271,4.3,0.013,REVOKED
scalability,1000,500,500,10,3,93,5,1415,3.805,2.53,0.045,0.241,3.9,0.007,REVOKED
scalability,1000,500,500,10,3,93,6,1416,3.796,2.624,0.045,0.26,3.783,0.008,REVOKED
scalability,1000,500,500,10,3,93,7,1417,3.555,2.433,0.033,0.225,4.303,0.014,REVOKED
scalability,1000,500,500,10,3,93,8,1418,3.746,2.478,0.038,0.23,3.734,0.008,REVOKED
scalability,1000,500,500,10,3,93,9,1419,3.441,2.389,0.032,0.224,3.606,0.008,REVOKED
scalability,1000,500,500,10,3,93,10,1420,3.301,2.19,0.08,0.205,3.335,0.014,REVOKED
scalability,1000,500,500,10,4,94,1,1421,6.334,4.15,0.295,0.488,7.026,0.062,REVOKED
scalability,1000,500,500,10,4,94,2,1422,5.503,3.599,0.138,0.364,6.013,0.019,REVOKED
scalability,1000,500,500,10,4,94,3,1423,5.197,3.57,0.103,0.327,5.118,0.02,REVOKED
scalability,1000,500,500,10,4,94,4,1424,4.648,3.121,0.072,0.285,4.366,0.015,REVOKED
scalability,1000,500,500,10,4,94,5,1425,4.085,2.784,0.053,0.243,3.904,0.008,REVOKED
scalability,1000,500,500,10,4,94,6,1426,3.565,2.445,0.029,0.234,3.697,0.014,REVOKED
scalability,1000,500,500,10,4,94,7,1427,4.069,2.751,0.039,0.232,3.823,0.007,REVOKED
scalability,1000,500,500,10,4,94,8,1428,3.546,2.404,0.036,0.233,3.709,0.007,REVOKED
scalability,1000,500,500,10,4,94,9,1429,3.456,2.386,0.028,0.219,3.668,0.005,REVOKED
scalability,1000,500,500,10,4,94,10,1430,3.47,2.321,0.082,0.233,3.448,0.015,REVOKED
scalability,1000,500,500,10,5,95,1,1431,7.255,4.142,0.281,0.477,6.247,0.048,REVOKED
scalability,1000,500,500,10,5,95,2,1432,6.429,4.448,0.138,0.446,6.23,0.02,REVOKED
scalability,1000,500,500,10,5,95,3,1433,5.119,3.515,0.091,0.361,4.499,0.013,REVOKED
scalability,1000,500,500,10,5,95,4,1434,4.146,2.82,0.052,0.28,4.038,0.009,REVOKED
scalability,1000,500,500,10,5,95,5,1435,3.675,2.501,0.041,0.247,3.872,0.009,REVOKED
scalability,1000,500,500,10,5,95,6,1436,3.604,2.453,0.05,0.23,3.985,0.008,REVOKED
scalability,1000,500,500,10,5,95,7,1437,3.505,2.417,0.038,0.229,3.715,0.009,REVOKED
scalability,1000,500,500,10,5,95,8,1438,3.519,2.415,0.039,0.232,3.806,0.009,REVOKED
scalability,1000,500,500,10,5,95,9,1439,3.527,2.414,0.042,0.222,3.628,0.007,REVOKED
scalability,1000,500,500,10,5,95,10,1440,3.445,2.366,0.037,0.222,3.551,0.008,REVOKED
scalability,1000,500,500,10,6,96,1,1441,6.765,4.083,0.295,0.437,7.841,0.06,REVOKED
scalability,1000,500,500,10,6,96,2,1442,5.804,3.789,0.118,0.352,5.378,0.024,REVOKED
scalability,1000,500,500,10,6,96,3,1443,4.043,2.746,0.058,0.257,4.01,0.017,REVOKED
scalability,1000,500,500,10,6,96,4,1444,4.283,2.818,0.075,0.327,4.429,0.013,REVOKED
scalability,1000,500,500,10,6,96,5,1445,4.106,2.795,0.05,0.25,3.911,0.008,REVOKED
scalability,1000,500,500,10,6,96,6,1446,3.638,2.493,0.031,0.282,4.474,0.017,REVOKED
scalability,1000,500,500,10,6,96,7,1447,3.879,2.552,0.065,0.243,3.787,0.013,REVOKED
scalability,1000,500,500,10,6,96,8,1448,3.684,2.466,0.084,0.247,3.75,0.017,REVOKED
scalability,1000,500,500,10,6,96,9,1449,3.264,2.115,0.073,0.207,3.342,0.015,REVOKED
scalability,1000,500,500,10,6,96,10,1450,2.76,1.86,0.051,0.188,3.03,0.011,REVOKED
scalability,1000,500,500,10,7,97,1,1451,6.956,3.96,0.284,0.479,6.349,0.051,REVOKED
scalability,1000,500,500,10,7,97,2,1452,5.896,3.837,0.157,0.384,5.899,0.031,REVOKED
scalability,1000,500,500,10,7,97,3,1453,4.421,2.974,0.075,0.282,3.885,0.016,REVOKED
scalability,1000,500,500,10,7,97,4,1454,3.212,2.151,0.042,0.228,3.585,0.012,REVOKED
scalability,1000,500,500,10,7,97,5,1455,3.237,2.172,0.041,0.239,3.474,0.008,REVOKED
scalability,1000,500,500,10,7,97,6,1456,3.193,2.176,0.032,0.238,3.273,0.006,REVOKED
scalability,1000,500,500,10,7,97,7,1457,3.34,2.286,0.077,0.235,3.042,0.015,REVOKED
scalability,1000,500,500,10,7,97,8,1458,2.699,1.826,0.036,0.182,2.893,0.01,REVOKED
scalability,1000,500,500,10,7,97,9,1459,2.619,1.786,0.027,0.189,2.963,0.01,REVOKED
scalability,1000,500,500,10,7,97,10,1460,2.66,1.833,0.022,0.184,2.912,0.007,REVOKED
scalability,1000,500,500,10,8,98,1,1461,8.109,4.282,0.218,0.553,6.449,0.058,REVOKED
scalability,1000,500,500,10,8,98,2,1462,4.765,3.169,0.104,0.301,4.648,0.022,REVOKED
scalability,1000,500,500,10,8,98,3,1463,3.716,2.41,0.045,0.243,4.057,0.015,REVOKED
scalability,1000,500,500,10,8,98,4,1464,3.801,2.583,0.051,0.268,3.859,0.011,REVOKED
scalability,1000,500,500,10,8,98,5,1465,3.365,2.277,0.047,0.224,3.673,0.009,REVOKED
scalability,1000,500,500,10,8,98,6,1466,3.354,2.246,0.027,0.216,4.047,0.016,REVOKED
scalability,1000,500,500,10,8,98,7,1467,3.521,2.381,0.13,0.235,3.536,0.012,REVOKED
scalability,1000,500,500,10,8,98,8,1468,3.346,2.273,0.036,0.231,3.572,0.008,REVOKED
scalability,1000,500,500,10,8,98,9,1469,3.376,2.248,0.036,0.222,3.48,0.006,REVOKED
scalability,1000,500,500,10,8,98,10,1470,3.324,2.293,0.072,0.223,3.354,0.016,REVOKED
scalability,1000,500,500,10,9,99,1,1471,7.333,3.747,0.28,0.488,6.506,0.044,REVOKED
scalability,1000,500,500,10,9,99,2,1472,4.301,2.686,0.243,0.304,4.051,0.024,REVOKED
scalability,1000,500,500,10,9,99,3,1473,3.576,2.422,0.08,0.242,3.757,0.013,REVOKED
scalability,1000,500,500,10,9,99,4,1474,3.081,2.109,0.045,0.215,3.539,0.009,REVOKED
scalability,1000,500,500,10,9,99,5,1475,3.347,2.223,0.034,0.241,4.111,0.008,REVOKED
scalability,1000,500,500,10,9,99,6,1476,3.154,2.159,0.03,0.224,3.493,0.006,REVOKED
scalability,1000,500,500,10,9,99,7,1477,3.27,2.281,0.03,0.236,3.413,0.008,REVOKED
scalability,1000,500,500,10,9,99,8,1478,3.209,2.166,0.027,0.186,3.476,0.006,REVOKED
scalability,1000,500,500,10,9,99,9,1479,3.123,2.139,0.027,0.245,3.896,0.015,REVOKED
scalability,1000,500,500,10,9,99,10,1480,3.51,2.429,0.054,0.241,3.666,0.01,REVOKED
scalability,1000,500,500,10,10,100,1,1481,5.701,3.572,0.277,0.454,5.843,0.043,REVOKED
scalability,1000,500,500,10,10,100,2,1482,4.276,2.736,0.087,0.258,3.985,0.018,REVOKED
scalability,1000,500,500,10,10,100,3,1483,3.549,2.416,0.07,0.24,3.982,0.024,REVOKED
scalability,1000,500,500,10,10,100,4,1484,4.05,2.68,0.105,0.277,4.054,0.013,REVOKED
