scenario,poller_interval_ms,scheduler_interval_ms,total_active_sessions,background_active_sessions,requested_affected_session_count,iteration,trigger_event_id,measured_affected_session_count,active_sessions_before_event,active_sessions_after_event,poller_wait_ms,event_processing_latency_ms,event_end_to_end_latency_ms,dependency_lookup_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,total_core_ms,measured_component_sum_ms,unattributed_core_ms,reevaluation_total_ms,last_revoke_latency_ms,success,error
scalability,1000,500,500,490,10,1,31,10,500,490,518.237,114.404,632.641,0.864,30.63,0.821,3.033,44.555,0.226,113.775,80.129,33.647,46.77,628.051,True,
scalability,1000,500,500,490,10,2,32,10,500,490,859.286,99.024,958.31,0.41,26.627,0.382,2.544,40.65,0.126,98.664,70.739,27.926,39.131,954.248,True,
scalability,1000,500,500,490,10,3,33,10,500,490,714.56,118.751,833.311,0.868,30.972,0.871,3.086,47.687,0.285,118.076,83.769,34.307,47.137,828.555,True,
scalability,1000,500,500,490,10,4,34,10,500,490,771.216,111.12,882.336,0.916,29.177,0.787,2.793,45.054,0.256,110.493,78.982,31.51,44.027,877.964,True,
scalability,1000,500,500,490,10,5,35,10,500,490,786.247,94.133,880.38,0.429,24.628,0.798,2.458,38.373,0.255,93.725,66.94,26.785,36.947,876.686,True,
scalability,1000,500,500,490,10,6,36,10,500,490,217.351,95.484,312.835,0.473,25.292,0.521,2.399,39.411,0.151,95.035,68.246,26.789,37.428,308.296,True,
scalability,1000,500,500,490,10,7,37,10,500,490,517.472,93.102,610.574,0.348,24.185,0.888,2.478,39.105,0.309,92.787,67.315,25.473,36.188,606.15,True,
scalability,1000,500,500,490,10,8,38,10,500,490,967.32,99.323,1066.643,0.823,26.687,0.573,2.438,40.411,0.158,98.775,71.089,27.685,39.551,1062.137,True,
scalability,1000,500,500,490,10,9,39,10,500,490,219.624,104.632,324.256,0.836,27.068,0.616,2.649,42.931,0.202,104.139,74.302,29.836,40.728,319.57,True,
scalability,1000,500,500,490,10,10,40,10,500,490,963.232,96.913,1060.145,0.454,25.511,0.552,2.587,40.928,0.148,96.573,70.18,26.393,37.853,1056.199,True,
scalability,1000,500,500,490,10,11,41,10,500,490,749.805,100.187,849.992,0.94,26.145,0.811,2.68,39.999,0.155,99.555,70.732,28.823,39.591,846.023,True,
scalability,1000,500,500,490,10,12,42,10,500,490,620.06,97.288,717.348,0.847,25.292,0.899,2.658,39.236,0.19,96.618,69.122,27.496,37.781,713.484,True,
scalability,1000,500,500,490,10,13,43,10,500,490,67.32,104.624,171.944,0.838,27.05,0.737,2.894,41.756,0.195,103.886,73.47,30.416,41.212,167.969,True,
scalability,1000,500,500,490,10,14,44,10,500,490,21.566,109.226,130.792,0.796,28.552,0.706,3.011,44.465,0.162,108.629,77.691,30.937,43.109,126.091,True,
scalability,1000,500,500,490,10,15,45,10,500,490,731.9,111.044,842.944,0.819,28.682,0.79,2.869,44.794,0.183,110.442,78.137,32.305,44.323,838.317,True,
scalability,1000,500,500,490,10,16,46,10,500,490,404.188,113.121,517.309,1.042,29.641,0.805,2.932,45.473,0.182,112.487,80.075,32.412,45.145,512.589,True,
scalability,1000,500,500,490,10,17,47,10,500,490,981.777,112.794,1094.571,0.897,29.695,0.781,2.971,46.019,0.192,112.119,80.556,31.563,44.419,1089.981,True,
scalability,1000,500,500,490,10,18,48,10,500,490,378.957,107.653,486.61,0.487,28.4,0.815,2.831,44.772,0.198,107.198,77.502,29.695,42.292,481.875,True,
scalability,1000,500,500,490,10,19,49,10,500,490,991.77,91.669,1083.439,0.649,23.758,0.45,2.355,38.132,0.123,91.203,65.467,25.735,35.514,1079.725,True,
scalability,1000,500,500,490,10,20,50,10,500,490,280.323,99.247,379.57,0.5,25.968,0.799,2.598,40.564,0.186,98.742,70.615,28.127,38.998,375.587,True,
scalability,1000,500,500,490,10,21,51,10,500,490,241.779,106.195,347.974,0.622,27.5,0.727,3.292,43.567,0.193,105.703,75.899,29.804,41.152,343.993,True,
scalability,1000,500,500,490,10,22,52,10,500,490,328.148,105.107,433.255,0.612,28.283,0.963,2.862,42.201,0.274,104.651,75.194,29.457,42.205,429.155,True,
scalability,1000,500,500,490,10,23,53,10,500,490,754.217,100.37,854.587,0.544,26.74,0.846,2.671,40.617,0.167,99.88,71.584,28.296,40.043,850.989,True,
scalability,1000,500,500,490,10,24,54,10,500,490,512.495,112.058,624.553,0.923,29.408,0.786,2.93,44.468,0.173,111.39,78.687,32.703,44.586,620.024,True,
scalability,1000,500,500,490,10,25,55,10,500,490,854.396,108.962,963.358,0.587,29.424,0.796,3.109,43.464,0.167,108.458,77.546,30.912,43.775,959.16,True,
scalability,1000,500,500,490,10,26,56,10,500,490,1013.09,100.346,1113.436,0.502,26.198,0.834,2.604,40.998,0.181,99.831,71.318,28.513,39.673,1109.307,True,
scalability,1000,500,500,490,10,27,57,10,500,490,650.48,106.717,757.197,0.536,27.154,0.505,2.982,45.553,0.113,106.336,76.843,29.493,40.407,753.208,True,
scalability,1000,500,500,490,10,28,58,10,500,490,326.6,101.615,428.215,0.789,26.574,0.517,2.813,41.009,0.106,101.112,71.809,29.303,40.064,424.176,True,
scalability,1000,500,500,490,10,29,59,10,500,490,95.176,112.347,207.523,0.902,29.903,0.975,2.986,44.296,0.208,111.672,79.27,32.402,45.295,203.265,True,
scalability,1000,500,500,490,10,30,60,10,500,490,238.42,99.041,337.461,0.357,26.514,0.364,2.679,40.533,0.091,98.695,70.539,28.157,39.174,333.088,True,
scalability,1000,500,500,490,10,31,61,10,500,490,395.548,113.564,509.112,0.892,28.973,0.946,3.044,46.185,0.207,112.974,80.247,32.727,44.765,505.152,True,
scalability,1000,500,500,490,10,32,62,10,500,490,299.342,110.524,409.866,0.849,28.364,0.886,2.956,44.719,0.212,109.834,77.986,31.848,43.469,405.119,True,
scalability,1000,500,500,490,10,33,63,10,500,490,640.55,102.308,742.858,1.594,26.269,0.633,3.254,41.013,0.132,101.781,72.895,28.886,39.461,738.498,True,
scalability,1000,500,500,490,10,34,64,10,500,490,179.85,114.213,294.063,0.91,31.464,0.815,3.027,44.413,0.147,113.626,80.775,32.851,46.986,289.326,True,
scalability,1000,500,500,490,10,35,65,10,500,490,480.169,113.879,594.048,0.916,30.214,0.797,2.989,44.509,0.181,112.928,79.605,33.323,45.664,589.12,True,
scalability,1000,500,500,490,10,36,66,10,500,490,152.527,108.864,261.391,0.671,29.538,0.947,2.888,43.047,0.177,108.299,77.268,31.031,44.63,256.647,True,
scalability,1000,500,500,490,10,37,67,10,500,490,666.78,113.783,780.563,0.955,29.574,0.976,2.988,46.279,0.205,113.111,80.977,32.133,44.889,775.696,True,
scalability,1000,500,500,490,10,38,68,10,500,490,529.856,91.965,621.821,0.431,24.629,0.342,2.385,37.985,0.079,91.578,65.851,25.727,36.291,617.496,True,
scalability,1000,500,500,490,10,39,69,10,500,490,654.316,109.507,763.823,0.924,29.05,0.75,2.855,43.016,0.136,108.766,76.73,32.036,44.181,759.233,True,
scalability,1000,500,500,490,10,40,70,10,500,490,824.384,108.906,933.29,0.561,29.64,0.918,3.027,42.824,0.198,108.372,77.169,31.203,44.238,929.584,True,
scalability,1000,500,500,490,10,41,71,10,500,490,829.367,159.744,989.111,0.632,78.996,1.0,2.956,45.114,0.205,159.229,128.904,30.325,93.044,984.789,True,
scalability,1000,500,500,490,10,42,72,10,500,490,208.652,104.689,313.341,0.869,27.131,0.741,2.717,42.301,0.166,103.986,73.926,30.06,41.034,308.563,True,
scalability,1000,500,500,490,10,43,73,10,500,490,87.947,109.576,197.523,0.788,28.5,0.703,2.902,44.588,0.149,108.961,77.631,31.33,42.51,192.774,True,
scalability,1000,500,500,490,10,44,74,10,500,490,901.842,100.458,1002.3,0.562,27.18,0.674,2.514,40.811,0.128,99.968,71.87,28.098,40.417,997.657,True,
scalability,1000,500,500,490,10,45,75,10,500,490,125.846,100.203,226.049,0.532,26.59,0.391,2.597,41.721,0.098,99.808,71.93,27.878,39.177,221.268,True,
scalability,1000,500,500,490,10,46,76,10,500,490,550.796,89.377,640.173,0.57,23.24,0.681,2.295,37.054,0.134,88.89,63.973,24.917,34.678,635.907,True,
scalability,1000,500,500,490,10,47,77,10,500,490,419.208,109.341,528.549,1.011,29.046,0.706,2.908,43.35,0.159,108.577,77.181,31.397,43.248,523.788,True,
scalability,1000,500,500,490,10,48,78,10,500,490,467.825,105.091,572.916,0.605,27.291,0.735,2.721,43.172,0.176,104.567,74.701,29.866,41.214,567.832,True,
scalability,1000,500,500,490,10,49,79,10,500,490,447.754,96.286,544.04,0.591,25.79,0.453,2.504,39.419,0.109,95.837,68.866,26.971,37.991,539.729,True,
scalability,1000,500,500,490,10,50,80,10,500,490,891.973,98.784,990.757,0.73,26.022,0.584,2.537,40.658,0.14,98.279,70.671,27.607,38.899,986.658,True,
