scenario,poller_interval_ms,scheduler_interval_ms,total_active_sessions,requested_affected_session_count,iteration,trigger_event_id,session_sequence,session_id,reevaluation_duration_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,final_status
scalability,1000,500,500,10,1,31,1,791,8.12,4.489,0.295,0.508,6.223,0.068,REVOKED
scalability,1000,500,500,10,1,31,2,792,6.824,4.492,0.126,0.438,6.058,0.038,REVOKED
scalability,1000,500,500,10,1,31,3,793,5.215,3.509,0.098,0.347,4.978,0.027,REVOKED
scalability,1000,500,500,10,1,31,4,794,4.888,3.313,0.082,0.288,4.396,0.016,REVOKED
scalability,1000,500,500,10,1,31,5,795,3.769,2.574,0.04,0.249,4.013,0.012,REVOKED
scalability,1000,500,500,10,1,31,6,796,3.769,2.535,0.044,0.285,3.903,0.011,REVOKED
scalability,1000,500,500,10,1,31,7,797,3.639,2.483,0.037,0.225,3.736,0.008,REVOKED
scalability,1000,500,500,10,1,31,8,798,3.57,2.457,0.037,0.234,3.818,0.012,REVOKED
scalability,1000,500,500,10,1,31,9,799,3.546,2.418,0.036,0.237,3.729,0.009,REVOKED
scalability,1000,500,500,10,1,31,10,800,3.43,2.36,0.027,0.221,3.702,0.025,REVOKED
scalability,1000,500,500,10,2,32,1,801,5.029,3.273,0.109,0.361,5.72,0.037,REVOKED
scalability,1000,500,500,10,2,32,2,802,5.126,3.526,0.052,0.351,4.754,0.013,REVOKED
scalability,1000,500,500,10,2,32,3,803,4.378,3.014,0.037,0.252,4.197,0.012,REVOKED
scalability,1000,500,500,10,2,32,4,804,3.906,2.646,0.031,0.24,4.147,0.011,REVOKED
scalability,1000,500,500,10,2,32,5,805,3.621,2.46,0.023,0.233,4.025,0.012,REVOKED
scalability,1000,500,500,10,2,32,6,806,3.626,2.486,0.023,0.235,3.772,0.008,REVOKED
scalability,1000,500,500,10,2,32,7,807,3.584,2.469,0.025,0.238,3.843,0.009,REVOKED
scalability,1000,500,500,10,2,32,8,808,3.421,2.352,0.024,0.234,3.688,0.008,REVOKED
scalability,1000,500,500,10,2,32,9,809,3.339,2.279,0.025,0.196,3.291,0.008,REVOKED
scalability,1000,500,500,10,2,32,10,810,3.102,2.121,0.035,0.203,3.215,0.008,REVOKED
