scenario,poller_interval_ms,scheduler_interval_ms,total_active_sessions,background_active_sessions,requested_affected_session_count,iteration,trigger_event_id,measured_affected_session_count,active_sessions_before_event,active_sessions_after_event,poller_wait_ms,event_processing_latency_ms,event_end_to_end_latency_ms,dependency_lookup_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,total_core_ms,measured_component_sum_ms,unattributed_core_ms,reevaluation_total_ms,last_revoke_latency_ms,success,error
scalability,1000,500,500,490,10,1,91,10,500,490,502.026,105.118,607.144,0.536,27.9,0.807,2.757,42.553,0.18,104.62,74.733,29.887,41.887,603.404,True,
scalability,1000,500,500,490,10,2,92,10,500,490,551.937,106.334,658.271,0.518,28.29,0.675,2.736,43.752,0.141,105.792,76.112,29.68,41.943,653.755,True,
scalability,1000,500,500,490,10,3,93,10,500,490,205.244,110.404,315.648,0.52,29.491,0.863,2.85,44.957,0.171,109.891,78.852,31.039,44.172,311.451,True,
scalability,1000,500,500,490,10,4,94,10,500,490,947.702,109.451,1057.153,0.478,29.531,0.875,2.856,44.773,0.173,108.951,78.686,30.265,43.872,1052.806,True,
scalability,1000,500,500,490,10,5,95,10,500,490,502.804,109.383,612.187,0.914,29.491,0.81,2.947,43.572,0.139,108.664,77.873,30.791,44.224,607.674,True,
scalability,1000,500,500,490,10,6,96,10,500,490,781.318,107.59,888.908,1.094,27.717,0.899,2.789,43.953,0.194,106.941,76.646,30.295,42.225,885.07,True,
scalability,1000,500,500,490,10,7,97,10,500,490,342.382,96.296,438.678,0.863,25.001,0.793,2.641,38.276,0.166,95.628,67.74,27.887,38.234,434.976,True,
scalability,1000,500,500,490,10,8,98,10,500,490,865.599,103.418,969.017,1.573,26.162,0.767,2.715,40.674,0.173,102.722,72.065,30.658,40.676,964.875,True,
scalability,1000,500,500,490,10,9,99,10,500,490,458.631,98.007,556.638,0.82,24.36,0.85,2.622,39.908,0.142,97.273,68.702,28.571,37.903,552.044,True,
scalability,1000,500,500,490,10,10,100,10,500,490,809.915,96.244,906.159,0.483,25.133,0.763,2.639,38.956,0.142,95.751,68.117,27.634,37.69,902.464,True,
scalability,1000,500,500,490,10,11,101,10,500,490,242.076,105.065,347.141,0.849,26.911,0.749,2.829,42.031,0.148,104.332,73.519,30.814,41.333,342.16,True,
scalability,1000,500,500,490,10,12,102,10,500,490,305.991,109.676,415.667,0.805,29.244,0.79,2.672,43.827,0.152,108.98,77.491,31.489,44.498,410.91,True,
scalability,1000,500,500,490,10,13,103,10,500,490,753.428,97.26,850.688,0.511,26.191,0.56,2.427,39.525,0.119,96.668,69.334,27.334,38.892,845.845,True,
scalability,1000,500,500,490,10,14,104,10,500,490,214.35,96.316,310.666,0.429,26.256,0.423,2.559,39.648,0.11,95.953,69.425,26.528,38.157,306.153,True,
scalability,1000,500,500,490,10,15,105,10,500,490,342.809,103.216,446.025,0.463,27.335,0.755,2.77,42.785,0.168,102.708,74.276,28.432,40.281,441.344,True,
scalability,1000,500,500,490,10,16,106,10,500,490,292.446,113.834,406.28,0.868,30.756,0.852,3.026,45.267,0.166,113.176,80.935,32.241,46.173,401.828,True,
scalability,1000,500,500,490,10,17,107,10,500,490,989.469,155.114,1144.583,0.522,76.32,0.696,2.899,43.377,0.16,154.599,123.974,30.625,90.872,1140.111,True,
scalability,1000,500,500,490,10,18,108,10,500,490,177.217,112.448,289.665,0.861,30.039,0.854,2.983,44.221,0.197,111.781,79.156,32.625,45.651,285.583,True,
scalability,1000,500,500,490,10,19,109,10,500,490,185.45,101.116,286.566,0.581,26.834,0.739,2.721,40.939,0.149,100.647,71.962,28.685,40.167,282.524,True,
scalability,1000,500,500,490,10,20,110,10,500,490,871.591,113.933,985.524,0.901,30.166,0.835,2.973,45.686,0.161,113.18,80.722,32.458,45.561,980.07,True,
scalability,1000,500,500,490,10,21,111,10,500,490,225.617,109.932,335.549,0.844,29.273,0.805,2.94,43.973,0.173,109.354,78.008,31.346,44.106,331.318,True,
scalability,1000,500,500,490,10,22,112,10,500,490,251.472,91.915,343.387,0.408,24.619,0.313,2.527,37.844,0.082,91.563,65.793,25.77,36.092,339.315,True,
scalability,1000,500,500,490,10,23,113,10,500,490,327.488,111.383,438.871,0.895,28.722,0.789,2.957,45.547,0.141,110.67,79.051,31.619,43.591,434.439,True,
scalability,1000,500,500,490,10,24,114,10,500,490,670.939,113.36,784.299,0.551,29.733,1.088,2.989,46.644,0.258,112.87,81.264,31.606,44.66,779.474,True,
scalability,1000,500,500,490,10,25,115,10,500,490,146.428,116.262,262.69,1.168,36.81,0.848,2.947,42.871,0.199,115.764,84.843,30.921,51.454,258.025,True,
scalability,1000,500,500,490,10,26,116,10,500,490,420.192,110.81,531.002,0.934,30.124,0.86,2.894,43.256,0.187,110.131,78.254,31.877,44.907,526.792,True,
scalability,1000,500,500,490,10,27,117,10,500,490,183.1,112.067,295.167,0.883,29.547,0.693,3.071,43.998,0.16,111.362,78.352,33.009,44.875,290.497,True,
scalability,1000,500,500,490,10,28,118,10,500,490,248.496,112.062,360.558,0.541,30.877,0.865,2.884,44.337,0.167,111.588,79.67,31.918,45.67,356.494,True,
scalability,1000,500,500,490,10,29,119,10,500,490,865.58,113.636,979.216,0.917,30.205,0.814,2.93,45.43,0.178,112.95,80.474,32.476,45.253,974.626,True,
scalability,1000,500,500,490,10,30,120,10,500,490,131.486,99.81,231.296,0.549,26.376,0.707,2.589,40.538,0.142,99.278,70.9,28.378,39.371,227.177,True,
scalability,1000,500,500,490,10,31,121,10,500,490,433.156,107.635,540.791,0.887,28.644,0.753,2.79,42.273,0.155,106.981,75.502,31.478,43.331,536.81,True,
scalability,1000,500,500,490,10,32,122,10,500,490,187.087,110.16,297.247,0.917,28.451,0.814,2.954,44.207,0.168,109.426,77.511,31.915,43.56,292.613,True,
scalability,1000,500,500,490,10,33,123,10,500,490,864.452,110.482,974.934,0.568,30.495,0.819,3.083,43.642,0.146,109.889,78.753,31.136,44.643,970.361,True,
scalability,1000,500,500,490,10,34,124,10,500,490,386.757,103.972,490.729,0.568,27.498,0.684,2.635,42.226,0.16,103.37,73.771,29.599,41.273,486.138,True,
scalability,1000,500,500,490,10,35,125,10,500,490,286.915,95.023,381.938,0.489,25.703,0.467,2.421,38.789,0.11,94.612,67.979,26.634,37.59,377.553,True,
scalability,1000,500,500,490,10,36,126,10,500,490,544.16,84.363,628.523,0.388,22.136,0.347,2.308,34.579,0.082,84.008,59.84,24.167,32.78,624.787,True,
scalability,1000,500,500,490,10,37,127,10,500,490,35.17,85.309,120.479,0.684,21.825,0.518,2.238,34.352,0.11,84.799,59.727,25.072,33.072,116.818,True,
scalability,1000,500,500,490,10,38,128,10,500,490,329.694,91.407,421.101,0.727,24.15,0.573,2.517,36.566,0.115,90.839,64.647,26.192,35.924,417.441,True,
