scenario,poller_interval_ms,scheduler_interval_ms,total_active_sessions,background_active_sessions,requested_affected_session_count,iteration,trigger_event_id,measured_affected_session_count,active_sessions_before_event,active_sessions_after_event,poller_wait_ms,event_processing_latency_ms,event_end_to_end_latency_ms,dependency_lookup_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,total_core_ms,measured_component_sum_ms,unattributed_core_ms,reevaluation_total_ms,last_revoke_latency_ms,success,error
scalability,1000,500,1000,990,10,1,91,10,1000,990,1003.434,100.017,1103.451,0.514,25.956,0.635,2.637,41.417,0.142,99.493,71.303,28.19,38.946,1098.64,True,
scalability,1000,500,1000,990,10,2,92,10,1000,990,299.781,106.227,406.008,0.786,28.985,0.685,2.73,41.679,0.13,105.662,74.995,30.667,43.635,401.274,True,
scalability,1000,500,1000,990,10,3,93,10,1000,990,608.759,100.855,709.614,0.713,26.936,0.516,2.519,41.679,0.135,100.306,72.498,27.808,39.595,704.932,True,
scalability,1000,500,1000,990,10,4,94,10,1000,990,796.91,110.607,907.517,0.486,29.777,0.991,2.89,45.895,0.189,110.136,80.228,29.908,44.175,903.404,True,
scalability,1000,500,1000,990,10,5,95,10,1000,990,871.317,101.69,973.007,0.5,26.97,0.696,2.651,41.564,0.134,101.194,72.516,28.678,40.226,968.238,True,
scalability,1000,500,1000,990,10,6,96,10,1000,990,78.18,103.961,182.141,0.633,27.015,0.749,2.749,42.313,0.14,103.392,73.6,29.792,40.39,177.332,True,
scalability,1000,500,1000,990,10,7,97,10,1000,990,840.829,101.198,942.027,0.874,26.052,0.688,2.719,40.264,0.144,100.602,70.74,29.862,39.871,938.403,True,
scalability,1000,500,1000,990,10,8,98,10,1000,990,419.635,108.998,528.633,1.066,28.66,0.793,2.882,43.694,0.172,108.512,77.268,31.244,43.752,524.542,True,
scalability,1000,500,1000,990,10,9,99,10,1000,990,701.393,107.871,809.264,0.569,28.403,0.743,2.9,43.598,0.16,107.285,76.374,30.911,42.803,804.445,True,
scalability,1000,500,1000,990,10,10,100,10,1000,990,161.004,110.956,271.96,0.54,29.866,0.838,3.0,44.486,0.162,110.459,78.893,31.566,44.643,267.431,True,
scalability,1000,500,1000,990,10,11,101,10,1000,990,500.202,112.718,612.92,0.917,29.554,0.851,2.997,45.342,0.158,112.062,79.82,32.242,44.703,608.872,True,
scalability,1000,500,1000,990,10,12,102,10,1000,990,613.359,92.614,705.973,0.43,24.059,0.403,2.545,38.762,0.088,92.249,66.288,25.961,35.664,701.874,True,
scalability,1000,500,1000,990,10,13,103,10,1000,990,905.522,92.44,997.962,0.497,24.08,0.628,2.529,37.859,0.132,92.073,65.725,26.348,36.431,993.863,True,
scalability,1000,500,1000,990,10,14,104,10,1000,990,336.175,88.165,424.34,0.294,23.821,0.525,2.303,36.158,0.106,87.88,63.208,24.673,35.244,420.26,True,
scalability,1000,500,1000,990,10,15,105,10,1000,990,470.099,97.634,567.733,0.415,26.456,0.698,2.599,39.194,0.141,97.259,69.502,27.757,39.258,563.685,True,
scalability,1000,500,1000,990,10,16,106,10,1000,990,145.512,99.025,244.537,0.815,26.046,0.607,2.582,40.237,0.138,98.483,70.424,28.059,39.055,240.445,True,
scalability,1000,500,1000,990,10,17,107,10,1000,990,234.499,99.454,333.953,0.404,25.856,0.522,2.671,41.76,0.12,99.034,71.332,27.702,38.375,328.999,True,
scalability,1000,500,1000,990,10,18,108,10,1000,990,899.858,99.789,999.647,0.88,25.947,0.846,2.738,39.405,0.161,99.169,69.977,29.192,39.521,995.704,True,
scalability,1000,500,1000,990,10,19,109,10,1000,990,402.11,100.367,502.477,0.525,26.23,0.849,2.68,40.629,0.163,99.852,71.075,28.777,39.239,498.655,True,
scalability,1000,500,1000,990,10,20,110,10,1000,990,657.028,90.47,747.498,0.491,23.943,0.363,2.369,37.213,0.084,90.004,64.463,25.541,35.327,743.432,True,
scalability,1000,500,1000,990,10,21,111,10,1000,990,690.166,90.03,780.196,0.34,23.73,0.465,2.322,37.5,0.098,89.717,64.455,25.261,35.007,776.034,True,
scalability,1000,500,1000,990,10,22,112,10,1000,990,753.168,97.287,850.455,0.681,24.912,0.853,2.57,39.732,0.17,96.718,68.918,27.799,37.767,846.707,True,
scalability,1000,500,1000,990,10,23,113,10,1000,990,602.845,94.291,697.136,0.502,23.875,0.423,2.436,39.953,0.105,93.959,67.295,26.664,35.819,692.871,True,
scalability,1000,500,1000,990,10,24,114,10,1000,990,102.804,85.26,188.064,0.472,22.196,0.505,2.277,35.139,0.096,84.914,60.685,24.229,33.229,184.38,True,
scalability,1000,500,1000,990,10,25,115,10,1000,990,302.521,113.14,415.661,0.869,29.479,1.298,3.024,45.378,0.279,112.463,80.327,32.136,45.278,411.204,True,
scalability,1000,500,1000,990,10,26,116,10,1000,990,749.72,85.836,835.556,0.725,22.086,0.53,2.416,34.868,0.11,85.43,60.735,24.695,33.32,831.932,True,
scalability,1000,500,1000,990,10,27,117,10,1000,990,781.681,85.085,866.766,0.56,22.083,0.5,2.253,34.51,0.111,84.498,60.017,24.481,33.254,863.158,True,
scalability,1000,500,1000,990,10,28,118,10,1000,990,419.396,97.11,516.506,0.448,26.066,0.469,2.497,40.292,0.114,96.752,69.886,26.867,38.402,512.219,True,
scalability,1000,500,1000,990,10,29,119,10,1000,990,692.543,107.616,800.159,0.612,27.168,0.655,2.873,45.398,0.152,107.091,76.859,30.232,41.0,795.56,True,
scalability,1000,500,1000,990,10,30,120,10,1000,990,194.361,84.252,278.613,0.309,22.275,0.358,2.191,35.078,0.08,83.922,60.291,23.631,33.042,274.532,True,
scalability,1000,500,1000,990,10,31,121,10,1000,990,927.351,85.655,1013.006,0.404,22.024,0.495,2.415,35.533,0.111,85.196,60.982,24.214,32.773,1008.915,True,
scalability,1000,500,1000,990,10,32,122,10,1000,990,147.291,97.512,244.803,0.596,26.286,0.553,2.562,39.529,0.127,97.004,69.652,27.351,38.927,240.503,True,
scalability,1000,500,1000,990,10,33,123,10,1000,990,29.438,93.039,122.477,0.45,24.222,0.354,2.445,39.001,0.102,92.646,66.576,26.071,35.773,118.158,True,
scalability,1000,500,1000,990,10,34,124,10,1000,990,353.714,83.86,437.574,0.519,21.957,0.477,2.227,34.507,0.097,83.422,59.785,23.637,32.549,433.915,True,
scalability,1000,500,1000,990,10,35,125,10,1000,990,134.888,92.029,226.917,0.619,24.247,0.56,2.457,37.196,0.117,91.357,65.194,26.163,35.73,222.863,True,
scalability,1000,500,1000,990,10,36,126,10,1000,990,870.567,95.977,966.544,0.765,24.779,0.623,2.555,39.19,0.144,95.312,68.057,27.255,37.547,962.432,True,
scalability,1000,500,1000,990,10,37,127,10,1000,990,339.154,105.274,444.428,0.739,27.974,0.766,2.795,42.079,0.142,104.703,74.495,30.207,42.426,440.269,True,
scalability,1000,500,1000,990,10,38,128,10,1000,990,836.907,96.448,933.355,0.457,26.247,0.51,2.495,38.742,0.114,95.872,68.565,27.307,39.036,928.928,True,
scalability,1000,500,1000,990,10,39,129,10,1000,990,319.623,100.221,419.844,0.338,27.293,0.405,2.6,41.256,0.097,99.821,71.989,27.832,39.558,415.394,True,
scalability,1000,500,1000,990,10,40,130,10,1000,990,253.491,105.007,358.498,0.814,28.324,0.619,2.582,42.683,0.109,104.357,75.131,29.226,41.967,353.832,True,
scalability,1000,500,1000,990,10,41,131,10,1000,990,757.938,102.454,860.392,0.765,27.388,0.569,2.592,41.547,0.114,101.88,72.975,28.905,40.806,855.906,True,
scalability,1000,500,1000,990,10,42,132,10,1000,990,19.099,91.959,111.058,0.387,24.608,0.56,2.454,37.903,0.117,91.549,66.029,25.52,36.081,107.08,True,
scalability,1000,500,1000,990,10,43,133,10,1000,990,653.609,91.08,744.689,0.782,23.403,0.677,2.547,36.518,0.119,90.515,64.044,26.471,35.485,740.951,True,
scalability,1000,500,1000,990,10,44,134,10,1000,990,1009.267,102.142,1111.409,1.419,26.377,0.719,2.844,40.891,0.143,101.571,72.394,29.177,39.938,1107.314,True,
scalability,1000,500,1000,990,10,45,135,10,1000,990,767.004,99.62,866.624,0.411,26.432,0.49,2.623,41.565,0.114,99.236,71.634,27.601,39.178,861.286,True,
scalability,1000,500,1000,990,10,46,136,10,1000,990,437.244,114.003,551.247,0.541,29.833,0.612,3.016,47.026,0.129,113.486,81.157,32.329,44.501,545.524,True,
scalability,1000,500,1000,990,10,47,137,10,1000,990,371.851,102.647,474.498,0.427,27.909,0.613,2.6,41.992,0.142,102.221,73.682,28.539,41.186,469.93,True,
scalability,1000,500,1000,990,10,48,138,10,1000,990,850.65,109.189,959.839,0.853,28.575,0.791,2.835,44.187,0.165,108.495,77.407,31.087,43.221,955.741,True,
scalability,1000,500,1000,990,10,49,139,10,1000,990,698.745,111.399,810.144,0.887,29.888,0.792,2.884,44.377,0.156,110.691,78.985,31.706,45.294,805.584,True,
scalability,1000,500,1000,990,10,50,140,10,1000,990,511.827,103.267,615.094,0.661,27.962,0.746,2.652,41.901,0.154,102.756,74.076,28.679,41.579,610.518,True,
