scenario,poller_interval_ms,scheduler_interval_ms,total_active_sessions,requested_affected_session_count,iteration,trigger_event_id,session_sequence,session_id,reevaluation_duration_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,final_status
scalability,1000,500,100,10,1,31,1,391,7.197,4.28,0.305,0.508,7.376,0.076,REVOKED
scalability,1000,500,100,10,1,31,2,392,6.481,4.3,0.128,0.387,6.023,0.037,REVOKED
scalability,1000,500,100,10,1,31,3,393,5.184,3.531,0.089,0.325,5.117,0.022,REVOKED
scalability,1000,500,100,10,1,31,4,394,4.939,3.363,0.078,0.317,5.031,0.02,REVOKED
scalability,1000,500,100,10,1,31,5,395,4.011,2.692,0.044,0.264,4.027,0.011,REVOKED
scalability,1000,500,100,10,1,31,6,396,3.717,2.538,0.041,0.235,3.888,0.01,REVOKED
scalability,1000,500,100,10,1,31,7,397,3.511,2.417,0.037,0.244,3.966,0.01,REVOKED
scalability,1000,500,100,10,1,31,8,398,3.548,2.443,0.041,0.226,3.728,0.01,REVOKED
scalability,1000,500,100,10,1,31,9,399,3.499,2.37,0.032,0.234,3.84,0.009,REVOKED
scalability,1000,500,100,10,1,31,10,400,3.068,2.082,0.076,0.222,3.122,0.02,REVOKED
scalability,1000,500,100,10,2,32,1,401,6.649,4.226,0.307,0.483,6.269,0.069,REVOKED
scalability,1000,500,100,10,2,32,2,402,7.404,4.71,0.129,0.402,6.412,0.04,REVOKED
scalability,1000,500,100,10,2,32,3,403,5.156,3.475,0.094,0.371,5.157,0.026,REVOKED
scalability,1000,500,100,10,2,32,4,404,4.744,3.199,0.078,0.316,5.033,0.021,REVOKED
scalability,1000,500,100,10,2,32,5,405,4.363,2.917,0.056,0.238,3.956,0.01,REVOKED
scalability,1000,500,100,10,2,32,6,406,3.708,2.544,0.037,0.24,3.883,0.01,REVOKED
scalability,1000,500,100,10,2,32,7,407,3.541,2.422,0.032,0.223,3.779,0.014,REVOKED
scalability,1000,500,100,10,2,32,8,408,3.641,2.471,0.036,0.235,3.839,0.011,REVOKED
scalability,1000,500,100,10,2,32,9,409,3.556,2.425,0.037,0.243,3.769,0.01,REVOKED
