scenario,poller_interval_ms,scheduler_interval_ms,total_active_sessions,requested_affected_session_count,iteration,trigger_event_id,session_sequence,session_id,reevaluation_duration_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,final_status
scalability,1000,500,1000,10,1,31,1,1291,6.643,4.277,0.282,0.484,6.904,0.069,REVOKED
scalability,1000,500,1000,10,1,31,2,1292,6.456,4.273,0.132,0.315,5.197,0.041,REVOKED
scalability,1000,500,1000,10,1,31,3,1293,4.249,2.81,0.087,0.331,4.981,0.025,REVOKED
scalability,1000,500,1000,10,1,31,4,1294,3.792,2.583,0.048,0.249,4.014,0.013,REVOKED
scalability,1000,500,1000,10,1,31,5,1295,3.394,2.319,0.036,0.204,3.498,0.011,REVOKED
scalability,1000,500,1000,10,1,31,6,1296,3.226,2.189,0.044,0.22,3.307,0.01,REVOKED
scalability,1000,500,1000,10,1,31,7,1297,3.1,2.099,0.04,0.206,3.268,0.024,REVOKED
scalability,1000,500,1000,10,1,31,8,1298,2.82,1.871,0.05,0.167,2.959,0.012,REVOKED
scalability,1000,500,1000,10,1,31,9,1299,2.645,1.809,0.033,0.2,2.873,0.01,REVOKED
scalability,1000,500,1000,10,1,31,10,1300,2.688,1.849,0.027,0.192,2.857,0.011,REVOKED
scalability,1000,500,1000,10,2,32,1,1301,6.64,4.18,0.271,0.522,7.229,0.072,REVOKED
scalability,1000,500,1000,10,2,32,2,1302,5.678,3.755,0.151,0.31,5.842,0.039,REVOKED
scalability,1000,500,1000,10,2,32,3,1303,5.136,3.444,0.102,0.32,4.54,0.022,REVOKED
scalability,1000,500,1000,10,2,32,4,1304,4.145,2.878,0.047,0.262,3.859,0.011,REVOKED
scalability,1000,500,1000,10,2,32,5,1305,3.567,2.426,0.035,0.224,3.804,0.01,REVOKED
scalability,1000,500,1000,10,2,32,6,1306,3.308,2.176,0.029,0.223,3.326,0.009,REVOKED
scalability,1000,500,1000,10,2,32,7,1307,3.053,2.089,0.033,0.199,3.311,0.008,REVOKED
scalability,1000,500,1000,10,2,32,8,1308,3.021,2.041,0.038,0.2,3.361,0.012,REVOKED
scalability,1000,500,1000,10,2,32,9,1309,3.027,2.008,0.027,0.186,3.185,0.008,REVOKED
scalability,1000,500,1000,10,2,32,10,1310,2.98,2.008,0.071,0.184,2.989,0.018,REVOKED
scalability,1000,500,1000,10,3,33,1,1311,6.05,3.785,0.277,0.478,5.706,0.072,REVOKED
scalability,1000,500,1000,10,3,33,2,1312,6.065,4.047,0.137,0.401,5.651,0.03,REVOKED
scalability,1000,500,1000,10,3,33,3,1313,4.109,2.765,0.06,0.302,4.529,0.017,REVOKED
scalability,1000,500,1000,10,3,33,4,1314,3.814,2.576,0.052,0.28,4.87,0.046,REVOKED
scalability,1000,500,1000,10,3,33,5,1315,3.522,2.275,0.146,0.275,4.38,0.033,REVOKED
scalability,1000,500,1000,10,3,33,6,1316,3.627,2.462,0.051,0.215,3.712,0.036,REVOKED
scalability,1000,500,1000,10,3,33,7,1317,3.438,2.321,0.04,0.196,3.46,0.015,REVOKED
scalability,1000,500,1000,10,3,33,8,1318,3.383,2.343,0.036,0.228,4.414,0.015,REVOKED
scalability,1000,500,1000,10,3,33,9,1319,3.259,2.124,0.039,0.219,3.688,0.012,REVOKED
scalability,1000,500,1000,10,3,33,10,1320,2.964,2.011,0.028,0.2,3.265,0.011,REVOKED
scalability,1000,500,1000,10,4,34,1,1321,5.763,3.558,0.27,0.452,8.105,0.095,REVOKED
scalability,1000,500,1000,10,4,34,2,1322,5.869,3.858,0.126,0.366,5.356,0.038,REVOKED
scalability,1000,500,1000,10,4,34,3,1323,4.948,3.399,0.06,0.295,4.437,0.02,REVOKED
scalability,1000,500,1000,10,4,34,4,1324,4.087,2.746,0.052,0.243,4.082,0.018,REVOKED
scalability,1000,500,1000,10,4,34,5,1325,3.65,2.473,0.041,0.242,3.768,0.009,REVOKED
scalability,1000,500,1000,10,4,34,6,1326,3.539,2.412,0.032,0.228,3.642,0.009,REVOKED
scalability,1000,500,1000,10,4,34,7,1327,3.478,2.406,0.027,0.222,3.645,0.008,REVOKED
scalability,1000,500,1000,10,4,34,8,1328,3.369,2.319,0.031,0.22,4.284,0.009,REVOKED
scalability,1000,500,1000,10,4,34,9,1329,3.737,2.462,0.037,0.234,3.759,0.01,REVOKED
scalability,1000,500,1000,10,4,34,10,1330,3.454,2.373,0.03,0.218,3.66,0.013,REVOKED
scalability,1000,500,1000,10,5,35,1,1331,7.082,4.098,0.284,0.475,6.382,0.069,REVOKED
scalability,1000,500,1000,10,5,35,2,1332,7.057,4.686,0.152,0.477,5.971,0.041,REVOKED
scalability,1000,500,1000,10,5,35,3,1333,4.126,2.779,0.083,0.344,4.442,0.025,REVOKED
scalability,1000,500,1000,10,5,35,4,1334,4.038,2.781,0.06,0.266,4.396,0.017,REVOKED
scalability,1000,500,1000,10,5,35,5,1335,3.819,2.576,0.049,0.248,4.191,0.017,REVOKED
scalability,1000,500,1000,10,5,35,6,1336,4.605,3.175,0.045,0.258,4.528,0.014,REVOKED
scalability,1000,500,1000,10,5,35,7,1337,3.628,2.411,0.033,0.269,3.869,0.012,REVOKED
scalability,1000,500,1000,10,5,35,8,1338,3.745,2.614,0.037,0.257,4.479,0.013,REVOKED
scalability,1000,500,1000,10,5,35,9,1339,3.614,2.462,0.035,0.277,3.943,0.013,REVOKED
scalability,1000,500,1000,10,5,35,10,1340,3.631,2.482,0.031,0.271,4.832,0.013,REVOKED
scalability,1000,500,1000,10,6,36,1,1341,6.834,4.175,0.214,0.528,7.179,0.047,REVOKED
scalability,1000,500,1000,10,6,36,2,1342,5.447,3.507,0.097,0.355,5.02,0.016,REVOKED
scalability,1000,500,1000,10,6,36,3,1343,4.292,2.942,0.037,0.256,4.054,0.012,REVOKED
scalability,1000,500,1000,10,6,36,4,1344,3.523,2.4,0.027,0.256,3.788,0.011,REVOKED
scalability,1000,500,1000,10,6,36,5,1345,3.635,2.514,0.032,0.239,3.763,0.009,REVOKED
scalability,1000,500,1000,10,6,36,6,1346,3.468,2.341,0.024,0.244,3.852,0.009,REVOKED
scalability,1000,500,1000,10,6,36,7,1347,3.308,2.232,0.025,0.207,3.307,0.01,REVOKED
scalability,1000,500,1000,10,6,36,8,1348,3.071,2.118,0.026,0.234,3.232,0.009,REVOKED
scalability,1000,500,1000,10,6,36,9,1349,3.048,2.09,0.025,0.212,3.283,0.01,REVOKED
scalability,1000,500,1000,10,6,36,10,1350,3.069,2.07,0.033,0.198,3.285,0.009,REVOKED
scalability,1000,500,1000,10,7,37,1,1351,6.162,3.841,0.235,0.515,6.891,0.102,REVOKED
scalability,1000,500,1000,10,7,37,2,1352,4.944,3.223,0.152,0.345,5.467,0.061,REVOKED
scalability,1000,500,1000,10,7,37,3,1353,4.148,2.714,0.081,0.279,4.259,0.025,REVOKED
scalability,1000,500,1000,10,7,37,4,1354,3.75,2.559,0.044,0.284,4.393,0.034,REVOKED
scalability,1000,500,1000,10,7,37,5,1355,3.884,2.637,0.053,0.281,4.143,0.018,REVOKED
scalability,1000,500,1000,10,7,37,6,1356,3.723,2.563,0.044,0.222,4.13,0.012,REVOKED
scalability,1000,500,1000,10,7,37,7,1357,3.797,2.609,0.052,0.264,3.992,0.011,REVOKED
scalability,1000,500,1000,10,7,37,8,1358,3.773,2.556,0.041,0.276,3.958,0.011,REVOKED
scalability,1000,500,1000,10,7,37,9,1359,3.578,2.462,0.03,0.222,3.808,0.009,REVOKED
scalability,1000,500,1000,10,7,37,10,1360,3.59,2.438,0.037,0.252,3.796,0.008,REVOKED
scalability,1000,500,1000,10,8,38,1,1361,6.333,3.835,0.15,0.46,6.081,0.039,REVOKED
scalability,1000,500,1000,10,8,38,2,1362,5.099,3.467,0.144,0.371,4.717,0.032,REVOKED
scalability,1000,500,1000,10,8,38,3,1363,4.619,3.231,0.08,0.247,4.819,0.024,REVOKED
scalability,1000,500,1000,10,8,38,4,1364,3.811,2.432,0.034,0.225,4.172,0.018,REVOKED
scalability,1000,500,1000,10,8,38,5,1365,4.038,2.769,0.061,0.273,4.056,0.011,REVOKED
scalability,1000,500,1000,10,8,38,6,1366,3.551,2.401,0.037,0.211,3.691,0.011,REVOKED
scalability,1000,500,1000,10,8,38,7,1367,3.52,2.402,0.04,0.221,3.725,0.01,REVOKED
scalability,1000,500,1000,10,8,38,8,1368,3.508,2.382,0.036,0.241,3.727,0.008,REVOKED
scalability,1000,500,1000,10,8,38,9,1369,3.265,2.184,0.031,0.203,3.457,0.008,REVOKED
scalability,1000,500,1000,10,8,38,10,1370,3.41,2.331,0.035,0.222,3.62,0.008,REVOKED
scalability,1000,500,1000,10,9,39,1,1371,6.329,4.058,0.234,0.476,6.809,0.051,REVOKED
scalability,1000,500,1000,10,9,39,2,1372,5.139,3.293,0.237,0.348,4.251,0.03,REVOKED
scalability,1000,500,1000,10,9,39,3,1373,3.527,2.369,0.077,0.246,4.136,0.017,REVOKED
scalability,1000,500,1000,10,9,39,4,1374,3.747,2.502,0.049,0.244,5.314,0.064,REVOKED
scalability,1000,500,1000,10,9,39,5,1375,3.789,2.517,0.041,0.253,4.047,0.039,REVOKED
scalability,1000,500,1000,10,9,39,6,1376,3.577,2.45,0.031,0.249,3.759,0.015,REVOKED
scalability,1000,500,1000,10,9,39,7,1377,3.495,2.399,0.032,0.217,3.712,0.008,REVOKED
scalability,1000,500,1000,10,9,39,8,1378,3.478,2.376,0.028,0.23,3.7,0.007,REVOKED
scalability,1000,500,1000,10,9,39,9,1379,3.723,2.589,0.036,0.258,3.841,0.008,REVOKED
scalability,1000,500,1000,10,9,39,10,1380,3.575,2.475,0.03,0.221,3.896,0.007,REVOKED
scalability,1000,500,1000,10,10,40,1,1381,7.189,4.049,0.274,0.478,6.528,0.043,REVOKED
scalability,1000,500,1000,10,10,40,2,1382,5.596,3.768,0.136,0.27,5.401,0.024,REVOKED
scalability,1000,500,1000,10,10,40,3,1383,5.023,3.341,0.08,0.312,5.357,0.018,REVOKED
scalability,1000,500,1000,10,10,40,4,1384,4.574,3.166,0.034,0.274,4.552,0.01,REVOKED
scalability,1000,500,1000,10,10,40,5,1385,3.821,2.552,0.035,0.23,3.717,0.009,REVOKED
scalability,1000,500,1000,10,10,40,6,1386,3.457,2.332,0.037,0.241,3.636,0.006,REVOKED
scalability,1000,500,1000,10,10,40,7,1387,3.177,2.173,0.032,0.228,3.497,0.007,REVOKED
scalability,1000,500,1000,10,10,40,8,1388,3.246,2.198,0.058,0.22,3.543,0.021,REVOKED
scalability,1000,500,1000,10,10,40,9,1389,2.944,1.931,0.084,0.207,3.013,0.008,REVOKED
scalability,1000,500,1000,10,10,40,10,1390,2.79,1.855,0.035,0.177,3.067,0.008,REVOKED
scalability,1000,500,1000,10,11,41,1,1391,6.335,3.947,0.282,0.488,5.911,0.041,REVOKED
scalability,1000,500,1000,10,11,41,2,1392,3.805,2.384,0.092,0.301,3.797,0.015,REVOKED
scalability,1000,500,1000,10,11,41,3,1393,4.371,3.066,0.142,0.313,4.569,0.016,REVOKED
scalability,1000,500,1000,10,11,41,4,1394,3.405,2.234,0.057,0.275,4.019,0.013,REVOKED
scalability,1000,500,1000,10,11,41,5,1395,3.512,2.442,0.042,0.234,3.665,0.012,REVOKED
scalability,1000,500,1000,10,11,41,6,1396,3.4,2.28,0.05,0.23,3.464,0.028,REVOKED
scalability,1000,500,1000,10,11,41,7,1397,3.362,2.283,0.038,0.231,3.459,0.008,REVOKED
scalability,1000,500,1000,10,11,41,8,1398,3.169,2.177,0.03,0.213,3.644,0.017,REVOKED
scalability,1000,500,1000,10,11,41,9,1399,3.431,2.309,0.072,0.212,3.549,0.01,REVOKED
scalability,1000,500,1000,10,11,41,10,1400,2.752,1.883,0.034,0.187,3.012,0.009,REVOKED
scalability,1000,500,1000,10,12,42,1,1401,6.23,3.814,0.259,0.88,6.724,0.04,REVOKED
